team	result	side	adjudicators
Sydney DS Nuts	eliminated	Opening Government	Eric KazadiⒸ , Aniket Chakravorty , Gazi Mahtab
Matt and Tejas	advancing	Opening Opposition	Eric KazadiⒸ , Aniket Chakravorty , Gazi Mahtab
Chicago/Hopkins GW	eliminated	Closing Government	Eric KazadiⒸ , Aniket Chakravorty , Gazi Mahtab
LSE A	advancing	Closing Opposition	Eric KazadiⒸ , Aniket Chakravorty , Gazi Mahtab
Sydney Bella &amp; Sophie	eliminated	Opening Government	Klaudia MaciejewskaⒸ , Paula Breyer , Zach Godley-McAvoy
LSE Shaurya&#x27;s hair is unKempt	advancing	Opening Opposition	Klaudia MaciejewskaⒸ , Paula Breyer , Zach Godley-McAvoy
UNWE Finally getting some empathy for t	eliminated	Closing Government	Klaudia MaciejewskaⒸ , Paula Breyer , Zach Godley-McAvoy
Oxford I Met God and She Works at McKinse	advancing	Closing Opposition	Klaudia MaciejewskaⒸ , Paula Breyer , Zach Godley-McAvoy
McGill M.D. U?	eliminated	Opening Government	Daan SpacklerⒸ , Flora Baek , Prashasti Saxena
St Andrews Musk building infrastructure in (A	advancing	Opening Opposition	Daan SpacklerⒸ , Flora Baek , Prashasti Saxena
Belgrade A	advancing	Closing Government	Daan SpacklerⒸ , Flora Baek , Prashasti Saxena
McGill RY	eliminated	Closing Opposition	Daan SpacklerⒸ , Flora Baek , Prashasti Saxena
TCD Hist PW	eliminated	Opening Government	Alexander FraserⒸ , Rushdoon Ahmed , Velina Andonova
listen faster	advancing	Opening Opposition	Alexander FraserⒸ , Rushdoon Ahmed , Velina Andonova
TCD Phil with a hint of Kwame Nkru	advancing	Closing Government	Alexander FraserⒸ , Rushdoon Ahmed , Velina Andonova
NU Phone Who Dis	eliminated	Closing Opposition	Alexander FraserⒸ , Rushdoon Ahmed , Velina Andonova
