Rk	break	team	Pts	Spk	1sts	2nds
1	(different break)	UNWE Finally getting some empathy for t	14	822.00	4	1
2	(different break)	Belgrade A	14	813.00	4	1
3	(different break)	Bucharest AD	11	801.00	3	1
4	(different break)	Technion A	11	792.00	2	2
5	(different break)	Zagreb A	10	807.00	2	2
6	(different break)	bantal princess	10	798.00	2	2
7	(different break)	Zagreb Peterčine	10	796.00	2	1
8	1	Have you tried to be better?	10	789.00	2	2
9	2	Belgrade (B)Ésan pas, lajem noćima pod tvoj	10	787.00	2	1
10	3	HUJI B	10	787.00	1	3
11	4	LSE C	9	792.00	2	1
