Rk	break	team	Pts	Spk	1sts	2nds
1	1	UNWE Finally getting some empathy for t	14	822.00	4	1
2	2	Belgrade A	14	813.00	4	1
3	3	listen faster	13	818.00	4	0
4	4	Matt and Tejas	13	806.00	3	2
5	5	Sydney DS Nuts	12	821.00	3	1
6	6	TCD Hist PW	12	817.00	3	1
7	7	McGill M.D. U?	12	809.00	3	1
8	8	LSE Shaurya&#x27;s hair is unKempt	12	808.00	3	1
9	9	Sydney Bella &amp; Sophie	12	804.00	2	3
10	10	McGill RY	11	814.00	3	1
11	11	TCD Phil with a hint of Kwame Nkru	11	809.00	2	2
12	12	Chicago/Hopkins GW	11	803.00	2	2
13	13	Bucharest AD	11	801.00	3	1
14	14	NU Phone Who Dis	11	801.00	2	2
15	15	HH going GOBLIN MODE	11	798.00	2	2
16	16	Oxford I Met God and She Works at McKinse	11	796.00	1	4
17	17	Oxford AP	11	794.00	3	0
18	18	Technion A	11	792.00	2	2
19	19	Zagreb A	10	807.00	2	2
20	20	LSE A	10	804.00	2	2
21	21	Sydney HOOD OOS	10	803.00	2	2
22	22	bantal princess	10	798.00	2	2
23	23	St Andrews Musk building infrastructure in (A	10	798.00	2	1
24	24	Zagreb Peterčine	10	796.00	2	1
