team	result	side	adjudicators
Oxford (A)ntipodeans	advancing	Opening Government	Asif Muztaba HassanⒸ , Velina Andonova , William Smith
Western Li &amp; Svirsky	advancing	Opening Opposition	Asif Muztaba HassanⒸ , Velina Andonova , William Smith
Oxford (B)ring me back to 3v3	eliminated	Closing Government	Asif Muztaba HassanⒸ , Velina Andonova , William Smith
bay area wannabes	eliminated	Closing Opposition	Asif Muztaba HassanⒸ , Velina Andonova , William Smith
Baek for Mor	eliminated	Opening Government	David MenciasⒸ , Auguste McNally , Shudipto Ahmed
Jeremiah and Matt	advancing	Opening Opposition	David MenciasⒸ , Auguste McNally , Shudipto Ahmed
fast and furious and tiny	advancing	Closing Government	David MenciasⒸ , Auguste McNally , Shudipto Ahmed
#freeivantilev	eliminated	Closing Opposition	David MenciasⒸ , Auguste McNally , Shudipto Ahmed
KNOB Guess who’s back, it’s Big Phat an	advancing	Opening Government	Ryosei KobayashiⒸ , Jiansheng Zhang , Luigi Alcaneses
I hope at least this kid im pro am	advancing	Opening Opposition	Ryosei KobayashiⒸ , Jiansheng Zhang , Luigi Alcaneses
Laundry woman and IRS agent	eliminated	Closing Government	Ryosei KobayashiⒸ , Jiansheng Zhang , Luigi Alcaneses
Sydney/UNSW TW	eliminated	Closing Opposition	Ryosei KobayashiⒸ , Jiansheng Zhang , Luigi Alcaneses
Rizzlamic State	advancing	Opening Government	Alek SelvelievⒸ , Caoimhin , Prosper Michael Ametu
St. Andrews Break or breakup 🤪🤪🤪	eliminated	Opening Opposition	Alek SelvelievⒸ , Caoimhin , Prosper Michael Ametu
wdym no reply?	eliminated	Closing Government	Alek SelvelievⒸ , Caoimhin , Prosper Michael Ametu
Farmville Enthusiasts	advancing	Closing Opposition	Alek SelvelievⒸ , Caoimhin , Prosper Michael Ametu
