Rk	team	categories	R1	R2	R3	R4	R5	Pts	Spk	1sts	2nds
1	Oxford (A)ntipodeans		2nd	1st	2nd	1st	1st	13	817	3	2
2	Farmville Enthusiasts		1st	1st	1st	4th	1st	12	817	4	0
3	fast and furious and tiny		1st	2nd	1st	1st	3rd	12	816	3	1
4	Sydney/UNSW TW		1st	1st	3rd	1st	2nd	12	807	3	1
5	KNOB Guess who’s back, it’s Big Phat an		2nd	1st	2nd	2nd	1st	12	798	2	3
6	#freeivantilev	ESL, Pro-Am	2nd	2nd	1st	2nd	2nd	11	815	1	4
7	St. Andrews Break or breakup 🤪🤪🤪		1st	2nd	1st	3rd	2nd	11	804	2	2
8	Oxford (B)ring me back to 3v3		1st	3rd	1st	3rd	1st	11	803	3	0
9	bay area wannabes	Pro-Am	1st	2nd	4th	1st	1st	11	780	3	1
10=	Baek for Mor		2nd	1st	2nd	4th	1st	10	804	2	2
10=	Rizzlamic State		1st	1st	2nd	2nd	4th	10	804	2	2
12	Laundry woman and IRS agent		3rd	2nd	1st	1st	3rd	10	800	2	1
13	I hope at least this kid im pro am		1st	3rd	1st	3rd	2nd	10	799	2	1
14	Jeremiah and Matt		2nd	2nd	4th	1st	1st	10	795	2	2
15	wdym no reply?		2nd	1st	3rd	2nd	2nd	10	788	1	3
16	Western Li &amp; Svirsky		1st	1st	4th	1st	3rd	10	786	3	0
17	TBD		1st	2nd	4th	2nd	2nd	9	786	1	3
18	Stanford TC	Pro-Am	3rd	1st	3rd	1st	3rd	9	777	2	0
19	Nixor Olevels coded	ESL	2nd	2nd	2nd	1st	4th	9	776	1	3
20	NU DA	ESL	2nd	4th	1st	2nd	2nd	9	773	1	3
21	Send Sydney to Euros	Pro-Am	2nd	3rd	1st	4th	1st	9	769	2	1
22	KNUST Dorvlo and Opoku- KNUST A	ESL	1st	4th	4th	1st	1st	9	768	3	0
23	In the dryer		2nd	3rd	1st	2nd	4th	8	781	1	2
24	An irish, an american, and lse a e	Pro-Am	2nd	1st	3rd	2nd	4th	8	779	1	2
25	TCD Hist AH		1st	4th	1st	3rd	3rd	8	776	2	0
26	Ateneo Elio and RK	Pro-Am	3rd	2nd	2nd	4th	1st	8	776	1	2
27	yaHOOO		4th	2nd	1st	4th	1st	8	774	2	1
28	bring back crossfire 🥺	Pro-Am	4th	1st	3rd	2nd	2nd	8	772	1	2
29	Reichman A	ESL	3rd	3rd	3rd	2nd	1st	8	771	1	1
30	LL	Pro-Am	1st	4th	2nd	3rd	2nd	8	770	1	2
31	HUJI (we don&#x27;t talk about) B(runOO)	ESL	4th	1st	2nd	3rd	2nd	8	769	1	2
32	team names are hard but this comp		3rd	2nd	3rd	1st	3rd	8	769	1	1
33	Family Therapy	Pro-Am	2nd	4th	2nd	1st	3rd	8	765	1	2
34	Hart House YA	Pro-Am	1st	3rd	2nd	3rd	4th	7	782	1	1
35	Vienna Come to Vi...oh wait it&#x27;s over	ESL, Pro-Am	1st	4th	1st	3rd	4th	7	774	2	0
36	Chicago A		4th	3rd	1st	1st	4th	7	765	2	0
37	Stanford CC		2nd	2nd	2nd	4th	3rd	7	765	0	3
38=	GUU Bugs Life was my sexual awakening		2nd	3rd	3rd	3rd	2nd	7	764	0	2
38=	Katzarov &amp; Krumova	ESL, Pro-Am	2nd	3rd	3rd	2nd	3rd	7	764	0	2
40	HUJI M&amp;I	ESL, Pro-Am	2nd	4th	3rd	2nd	2nd	7	760	0	3
41	Ghanada		3rd	3rd	2nd	2nd	3rd	7	758	0	2
42	TCD Hist MT		3rd	4th	1st	4th	1st	7	756	2	0
43	Who the fuck are these Indians?	Pro-Am	3rd	2nd	4th	1st	4th	6	766	1	1
44	Tel Aviv B	ESL	3rd	4th	1st	3rd	3rd	6	761	1	0
45	Haifa A	ESL	3rd	1st	3rd	4th	4th	5	771	1	0
46	Hybrid “novices”	Pro-Am	1st	3rd	4th	3rd	4th	5	766	1	0
47	Technion D	ESL, Pro-Am	4th	1st	4th	2nd	4th	5	762	1	1
48	brain.exe has stopped working	ESL, Pro-Am	3rd	4th	2nd	4th	2nd	5	761	0	2
49	Commie-san	ESL	3rd	1st	4th	3rd	4th	5	752	1	0
50=	Andromeda	Pro-Am	4th	2nd	2nd	4th	3rd	5	751	0	2
50=	Polska gurom		4th	2nd	4th	3rd	2nd	5	751	0	2
52	UCD LawSoc A still believes in Taylor &amp; Alons	Pro-Am	1st	3rd	3rd	4th	—	5	620	1	0
53	Swing A		4th	—	2nd	4th	1st	5	600	1	1
54	Nikolova &amp; Nedkova	ESL, Pro-Am	3rd	3rd	3rd	3rd	4th	4	750	0	0
55	Ignore the gunshot noises please,	ESL, Pro-Am	4th	4th	3rd	2nd	3rd	4	727	0	1
56	drip kings	Pro-Am	3rd	1st	4th	4th	—	4	620	1	0
57	KEDSers	Pro-Am	3rd	4th	3rd	2nd	—	4	599	0	1
58	Bulgarian Moussaka	ESL, Pro-Am	4th	3rd	4th	3rd	3rd	3	742	0	0
59	Almost puked on pro + puked on som		3rd	2nd	4th	—	—	3	465	0	1
60	Swing F		—	3rd	2nd	4th	—	3	444	0	1
61	Swing C		4th	—	—	1st	—	3	294	1	0
62	Swing B		4th	—	—	1st	—	3	266	1	0
63	Swing E		—	—	—	—	1st	3	154	1	0
64	QAZAQSHA PRIKOL	ESL	3rd	4th	4th	3rd	4th	2	731	0	0
65	Tel Aviv E	ESL	2nd	4th	4th	—	—	2	454	0	1
66	Swing D		4th	—	—	—	2nd	2	285	0	1
67	KASUKABE DEFENCE FORCE	Pro-Am	4th	4th	3rd	4th	4th	1	697	0	0
68	DUDS A	ESL	4th	4th	4th	—	3rd	1	584	0	0
69	DUDS B	Pro-Am	4th	3rd	—	4th	—	1	442	0	0
70=	ABCDilf Hunters	ESL	—	—	—	—	—	—	—	0	0
70=	Girls who barely sleep but still d	ESL	—	—	—	—	—	—	—	0	0
70=	Linh and Salleh	ESL	—	—	—	—	—	—	—	0	0
70=	Off-putting in a sexy way	Pro-Am	—	—	—	—	—	—	—	0	0
70=	Światło/Polska	Pro-Am	—	—	—	—	—	—	—	0	0
