Rk	break	team	Pts	Spk	1sts	2nds
1	(different break)	Sofia A	12	648.00	4	0
2	(different break)	TCD Hist the blue bulldog gene is recessive	10	642.00	2	2
3	(different break)	Oh it&#x27;s like a mindgoblin	10	633.00	2	2
4	(ineligible)	KCL (A)lready on our knees for Daddy, s	9	647.00	2	1
5	(different break)	HUJI Challenger? I hardly know &#x27;er	9	638.00	1	3
6	1	Ho Chi Minh City on 27th Dec? We&#x27;re	9	633.00	3	0
7	2	Stanford Mostly Harmless	9	630.00	2	1
8	(ineligible)	Swing A	9	626.00	2	1
9	3	Wait you’re not Emery	8	648.00	2	1
10	(withdrawn)	LSE Budget nathaniel yoon	8	631.00	1	2
11	4	Stanford TC	8	629.00	1	2
