Rk	name	category	team	R1	R2	R3	R4	Total	Avg	Stdev
1	Wajeeh Maaz		KCL (A)lready on our knees for Daddy, s	84	81	81	81	327	81.75	1.30
2=	Alek Selveliev	ESL	Sofia A	82	82	80	82	326	81.50	0.87
2=	Jack Williams		Wait you’re not Emery	85	83	79	79	326	81.50	2.60
4=	Naomi Panovka		TCD Hist the blue bulldog gene is recessive	77	82	81	82	322	80.50	2.06
4=	Velina Andonova	ESL	Sofia A	79	81	80	82	322	80.50	1.12
4=	Stefan-Christian Milicescu	ESL	Wait you’re not Emery	84	82	78	78	322	80.50	2.60
7=	Daniela Williams		TCD Hist the blue bulldog gene is recessive	77	82	81	80	320	80.00	1.87
7=	Josh Kemp		KCL (A)lready on our knees for Daddy, s	83	79	79	79	320	80.00	1.73
9=	Tamar Ben Meir	ESL	56 Groups in common	80	78	80	81	319	79.75	1.09
9=	Naomi Gillis		HUJI Challenger? I hardly know &#x27;er	79	80	80	80	319	79.75	0.43
9=	Yishai Binnes		HUJI Challenger? I hardly know &#x27;er	78	79	81	81	319	79.75	1.30
9=	Jessica Musulin		Ho Chi Minh City on 27th Dec? We&#x27;re	78	81	77	83	319	79.75	2.38
9=	Alex Sušić		Oh it&#x27;s like a mindgoblin	79	79	81	80	319	79.75	0.83
14	Arpi Yang		Hart House D	80	84	79	75	318	79.50	3.20
15	Max Williams		Hart House D	77	85	80	75	317	79.25	3.77
16=	Benjamin Thomas	Novice	Stanford TC	78	82	76	80	316	79.00	2.24
16=	Pranav Baskar		oxford rebuttal = no &lt;3,,	79	78	78	81	316	79.00	1.22
18=	Matt Mauriello		Harvard/Princeton MR	80	77	79	79	315	78.75	1.09
18=	Alastair Bowyer		St Andrews In Debateland, delta finds you	81	79	77	78	315	78.75	1.48
20=	Parth Pandya		Ho Chi Minh City on 27th Dec? We&#x27;re	76	80	76	82	314	78.50	2.60
20=	Eli Ferrell		Oh it&#x27;s like a mindgoblin	79	77	80	78	314	78.50	1.12
20=	Phil Chabaneix		Stanford Mostly Harmless	78	81	77	78	314	78.50	1.50
20=	Dung Nguyen		LSE Budget nathaniel yoon	79	81	78	76	314	78.50	1.80
20=	Roi Makov	ESL	Weizmann R&amp;D	81	78	79	76	314	78.50	1.80
20=	Wurdaan Kashif		we cum quick cause we have fish to	78	80	77	79	314	78.50	1.12
20=	Adam Banihani		Eels in the gun range 🔫	75	80	81	78	314	78.50	2.29
20=	Đorđe Radosavljević	ESL	Belgrade 1	78	80	77	79	314	78.50	1.12
28=	Freddy Simonnet-Lefevre		we cum quick cause we have fish to	78	80	76	79	313	78.25	1.48
28=	Oana Nitu	ESL	ASDV Bonaparte Balkan Girls	80	78	78	77	313	78.25	1.09
28=	Maya Tamir	ESL	56 Groups in common	79	76	79	79	313	78.25	1.30
28=	‪Omer Abramovich‬‏	ESL	Tel Aviv B	79	78	78	78	313	78.25	0.43
28=	Or Toledano	ESL	Tel Aviv B	80	78	77	78	313	78.25	1.09
28=	Rehan		TCD Hist Ziyad and Rehan	78	76	78	81	313	78.25	1.79
28=	William Smith		St Andrews In Debateland, delta finds you	82	77	77	77	313	78.25	2.17
28=	Novak Celebic	ESL	Belgrade 1	78	80	77	78	313	78.25	1.09
28=	Amy Chang	Novice	Stanford TC	76	81	77	79	313	78.25	1.92
28=	Speaker A1		Swing A	81	79	75	78	313	78.25	2.17
28=	Speaker A2		Swing A	80	79	75	79	313	78.25	1.92
39=	Tarun Ruschmeier	ESL, Novice	Gaining Social and Cultural Capita	78	78	81	75	312	78.00	2.12
39=	Muhammad Ziyad Anwer		TCD Hist Ziyad and Rehan	79	75	78	80	312	78.00	1.87
39=	Yael Wolff	ESL	Technion A	76	79	81	76	312	78.00	2.12
39=	Victor Bervoets	ESL	CSI: Escape from the Germans	76	80	76	80	312	78.00	2.00
39=	Ahmed Hussain		oxford rebuttal = no &lt;3,,	78	78	76	80	312	78.00	1.41
44=	Amitai Ben Porat	ESL	HUJI B(enedict Camembert)	75	79	78	79	311	77.75	1.64
44=	Ella Clayton		GUU D(oggystle)	77	78	79	77	311	77.75	0.83
44=	Guy Wolf	ESL	Technion A	76	79	81	75	311	77.75	2.38
44=	Dror Brook	ESL	Weizmann R&amp;D	80	77	79	75	311	77.75	1.92
44=	Elizabeth Li	Novice	Eels in the gun range 🔫	75	80	79	77	311	77.75	1.92
49=	Rahul Kalavagunta	Novice	Harvard/Princeton MR	79	77	77	77	310	77.50	0.87
