Rk	team	R1	R2	R3	R4	Pts	Spk	1sts	2nds
1	Sofia A	1st	1st	1st	1st	12	648	4	0
2	TCD Hist the blue bulldog gene is recessive	2nd	1st	1st	2nd	10	642	2	2
3	Oh it&#x27;s like a mindgoblin	1st	2nd	2nd	1st	10	633	2	2
4	KCL (A)lready on our knees for Daddy, s	2nd	1st	1st	3rd	9	647	2	1
5	HUJI Challenger? I hardly know &#x27;er	2nd	2nd	2nd	1st	9	638	1	3
6	Ho Chi Minh City on 27th Dec? We&#x27;re	1st	1st	4th	1st	9	633	3	0
7	Stanford Mostly Harmless	1st	1st	3rd	2nd	9	630	2	1
8	Swing A	1st	3rd	2nd	1st	9	626	2	1
9	Wait you’re not Emery	1st	1st	2nd	4th	8	648	2	1
10	LSE Budget nathaniel yoon	1st	2nd	2nd	3rd	8	631	1	2
11	Stanford TC	2nd	1st	3rd	2nd	8	629	1	2
12	Belgrade 1	1st	2nd	3rd	2nd	8	627	1	2
13	Tel Aviv B	2nd	4th	1st	1st	8	626	2	1
14	TCD Hist Ziyad and Rehan	2nd	4th	1st	1st	8	625	2	1
15	CSI: Escape from the Germans	4th	1st	2nd	1st	8	622	2	1
16	the nature of humanity is just tha	3rd	1st	1st	3rd	8	618	2	0
17	Hart House D	3rd	1st	1st	4th	7	635	2	0
18	56 Groups in common	1st	3rd	3rd	2nd	7	632	1	1
19	oxford rebuttal = no &lt;3,,	2nd	3rd	3rd	1st	7	628	1	1
20	we cum quick cause we have fish to	2nd	2nd	4th	1st	7	627	1	2
21	Weizmann R&amp;D	1st	4th	1st	3rd	7	625	2	0
22	Technion A	3rd	1st	1st	4th	7	623	2	0
23	ASDV Bonaparte Balkan Girls	4th	2nd	1st	2nd	7	623	1	2
24	Weizmann No Titles in Our Speeches	2nd	3rd	1st	3rd	7	613	1	1
25=	Eels in the gun range 🔫	4th	1st	3rd	2nd	6	625	1	1
25=	Harvard/Princeton MR	1st	4th	2nd	3rd	6	625	1	1
27	HUJI B(enedict Camembert)	2nd	2nd	4th	2nd	6	617	0	3
28	St Andrews I hit my peak at 7 (minutes)	3rd	2nd	2nd	3rd	6	615	0	2
29	Started from Oxford IV now we’re h	3rd	4th	2nd	1st	6	610	1	1
30	Tora and Aru	3rd	1st	4th	2nd	6	602	1	1
31	Don’t SchSh us	4th	1st	1st	—	6	471	2	0
32	St Andrews In Debateland, delta finds you	1st	3rd	3rd	4th	5	628	1	0
33	Gaining Social and Cultural Capita	2nd	3rd	2nd	4th	5	621	0	2
34	GUU D(oggystle)	2nd	4th	2nd	3rd	5	617	0	2
35	ACA DCA MMA	3rd	3rd	2nd	3rd	5	617	0	1
36	NA spar allocations	2nd	1st	4th	4th	5	616	1	1
37	HUJI Matterdumping Gambit	3rd	2nd	3rd	3rd	5	616	0	1
38	ASDV Bonaparte still, desperately, seeking sponso	3rd	3rd	4th	1st	5	615	1	0
39	Hart House Trenta Iced Piss	4th	2nd	3rd	2nd	5	615	0	2
40	Hart House where there&#x27;s a Will there&#x27;s a Wei	1st	2nd	4th	4th	5	614	1	1
41	Queen&#x27;s the shepherd	1st	3rd	3rd	4th	5	614	1	0
42	UCL Tan &amp; Nouman	4th	2nd	4th	1st	5	611	1	1
43	Tel Aviv A	4th	3rd	2nd	2nd	5	611	0	2
44	GUU C(owgirl)	3rd	4th	2nd	2nd	5	606	0	2
45	Weizmann K&amp;N	2nd	4th	4th	1st	5	605	1	1
46	Bucharest B	3rd	3rd	1st	—	5	463	1	0
47	Weizmann Navve &amp; Michal	2nd	4th	3rd	3rd	4	613	0	1
48	Team name	3rd	4th	1st	4th	4	602	1	0
49	LSE (sl)E(epy)	4th	3rd	3rd	2nd	4	602	0	1
50	Hart House Rizzards of the Coast	4th	4th	1st	3rd	4	599	1	0
51	LSE LS(E)D	3rd	2nd	—	3rd	4	447	0	1
52	Haifa Uri Zakai kicked Chuck Norris	1st	4th	4th	4th	3	604	1	0
53	Queen&#x27;s Bagel fuckers	3rd	2nd	4th	4th	3	601	0	1
54	Bone	4th	4th	2nd	3rd	3	597	0	1
55	Tel Aviv Reut &amp; Emanuel	4th	2nd	3rd	4th	3	593	0	1
56	C	—	—	—	1st	3	156	1	0
57=	Cardiff weird conception of foreplay	4th	4th	3rd	3rd	2	603	0	0
57=	It is important to note that a vic	4th	3rd	3rd	4th	2	603	0	0
59	maet deltitnu	3rd	3rd	4th	4th	2	600	0	0
60	If we don’t break you will	4th	4th	4th	2nd	2	594	0	1
61	Swing D1	—	—	—	2nd	2	156	0	1
62	Give me a VPN	4th	3rd	4th	4th	1	596	0	0
63	Swing B	—	—	4th	—	0	156	0	0
64	Cambridge karen is this still part of your d	—	—	—	—	—	—	0	0
