Rk	break	team	Pts	Spk	1sts	2nds
1	1	Princeton/PDP 1	33	1313.00	5	3
2	2	Cornell 1	28	1300.00	6	0
3	3	JHU 1	28	1284.00	4	0
4	4	UPenn 1	27	1265.00	4	2
5	5	Harvard 4	26	1286.00	4	2
6	6	Harvard 1	26	1279.00	5	2
7	7	Dartmouth 1	25	1291.00	4	1
8	8	Harvard 3	25	1272.00	3	2
9	9	Harvard 5	25	1255.00	2	4
10	10	Princeton/PDP 4	24	1275.00	3	2
11	11	Columbia 1	24	1265.00	3	3
12	12	Harvard 2	24	1259.00	2	3
13	13	USC 1	23	1267.00	2	3
14	14	Cornell 2	23	1255.00	2	4
15	15	Stanford 3	23	1237.00	3	3
16	16	HWS 2	22	1235.00	2	2
