Rk	team	categories	R1	R2	R3	R4	R5	R6	R7	R8	Pts	Spk	1sts	2nds
1	Princeton/PDP 1		1st	1st	1st	2nd	1st	2nd	2nd	1st	33	1313	5	3
2	Cornell 1		1st	1st	4th	1st	1st	1st	1st	3rd	28	1300	6	0
3	JHU 1		1st	1st	1st	3rd	3rd	3rd	3rd	1st	28	1284	4	0
4	UPenn 1	Novice	1st	1st	3rd	1st	2nd	1st	4th	2nd	27	1265	4	2
5	Harvard 4		3rd	1st	1st	2nd	2nd	1st	1st	3rd	26	1286	4	2
6	Harvard 1		2nd	4th	1st	1st	1st	1st	1st	2nd	26	1279	5	2
7	Dartmouth 1		2nd	1st	1st	1st	4th	3rd	4th	1st	25	1291	4	1
8	Harvard 3	Novice	1st	2nd	1st	4th	1st	4th	3rd	2nd	25	1272	3	2
9	Harvard 5		1st	1st	3rd	2nd	2nd	2nd	2nd	4th	25	1255	2	4
10	Princeton/PDP 4		1st	2nd	2nd	4th	3rd	4th	1st	1st	24	1275	3	2
11	Columbia 1		1st	2nd	4th	2nd	2nd	3rd	1st	1st	24	1265	3	3
12	Harvard 2		1st	3rd	1st	2nd	3rd	2nd	2nd	4th	24	1259	2	3
13	USC 1		1st	2nd	2nd	1st	4th	4th	3rd	2nd	23	1267	2	3
14	Cornell 2		3rd	2nd	1st	1st	2nd	3rd	2nd	2nd	23	1255	2	4
15	Stanford 3	Novice	3rd	2nd	2nd	1st	2nd	1st	1st	3rd	23	1237	3	3
16	HWS 2	Novice	2nd	1st	2nd	3rd	1st	4th	3rd	3rd	22	1235	2	2
17	Princeton/PDP 3		2nd	2nd	4th	3rd	1st	1st	2nd	1st	22	1230	3	3
18	Yale 1		2nd	1st	3rd	3rd	2nd	2nd	3rd	2nd	22	1228	1	4
19	Stanford 2		2nd	3rd	1st	1st	4th	1st	2nd	4th	22	1223	3	2
20	Princeton/PDP 2		2nd	4th	1st	3rd	1st	1st	4th	1st	22	1222	4	1
21	Wisconsin 1		1st	3rd	3rd	3rd	3rd	1st	2nd	3rd	21	1241	2	1
22	Berkeley 5	Novice	2nd	1st	2nd	3rd	3rd	2nd	4th	3rd	21	1231	1	3
23	UCLA 3		1st	3rd	2nd	4th	4th	3rd	1st	2nd	21	1227	2	2
24	HWS 1		2nd	2nd	2nd	4th	4th	2nd	2nd	1st	21	1213	1	5
