Rk	break	team	Pts	Spk	1sts	2nds	3rds
1	1	Sofia A	23	1504.00	7	1	0
2	2	TAU A	22	1509.00	5	3	1
3	3	Ateneo A	21	1502.00	6	0	3
4	4	Sydney D	21	1479.00	6	1	1
5	5	TCD Phil A	21	1479.00	4	4	1
6	6	LSE A	20	1503.00	3	5	1
7	7	Sydney B	20	1479.00	4	3	2
8	8	Harvard A	20	1473.00	5	1	3
9	9	UNSW A	20	1460.00	5	1	3
10	10	Bucharest A	20	1441.00	3	5	1
11	11	Stanford A	19	1484.00	3	4	2
12	12	McGill A	19	1472.00	5	1	2
13	13	Princeton B	19	1468.00	4	3	1
14	14	Princeton C	19	1465.00	5	1	2
15	15	Yale A	19	1460.00	4	2	3
16	16	UNWE A	19	1453.00	4	3	1
17	17	EUDU A	19	1447.00	4	2	3
18	18	McGill B	19	1445.00	4	3	1
19	19	LSE B	18	1477.00	5	1	1
20	20	Sydney A	18	1463.00	5	1	1
21	21	Zagreb A	18	1454.00	2	5	2
22	22	HUJI A	18	1448.00	5	1	1
23	23	Oxford B	18	1448.00	4	2	2
24	24	Melbourne A	18	1448.00	3	3	3
25	25	St Andrews A	18	1442.00	4	3	0
26	26	Sydney C	18	1441.00	5	1	1
27	27	Ateneo B	18	1437.00	4	3	0
28	28	McGill C	18	1434.00	4	1	4
29	29	QDU A	18	1434.00	3	4	1
30	30	Queensland A	18	1418.00	4	2	2
31	31	Oxford A	17	1455.00	4	2	1
32	32	NUS B	17	1452.00	4	2	1
33	33	Alberta A	17	1449.00	3	3	2
34	34	ANU A	17	1440.00	5	0	2
35	35	NUS A	17	1440.00	3	4	0
36	36	Hart House A	17	1440.00	3	3	2
37	37	PUCP A	17	1439.00	2	5	1
38	38	HWS A	17	1437.00	2	4	3
39	39	UPD A	17	1436.00	3	3	2
40	40	Sydney F	17	1434.00	3	3	2
41=	41	Bates A	17	1427.00	4	1	3
41=	41	Sofia B	17	1427.00	4	1	3
43	43	Tokyo A	17	1422.00	4	0	5
44	44	Harvard C	17	1422.00	3	3	2
45	45	Chicago B	17	1420.00	4	1	3
46	46	TAU B	17	1415.00	3	3	2
47	47	Cornell A	17	1413.00	3	3	2
48	48	Sciences Po B	17	1403.00	3	3	2
