team	institution	result	side	ballot	adjudicators
KCL B	KCL	3rd	Opening Opposition	View Ballot	Lucy MurphyⒸ , Munirah Abdullah , Patrick Cowley , Suhas KurapatiⓉ
UWODS Western A	UWODS	4th	Closing Opposition	View Ballot	Lucy MurphyⒸ , Munirah Abdullah , Patrick Cowley , Suhas KurapatiⓉ
Warwick A	Warwick	2nd	Closing Government	View Ballot	Lucy MurphyⒸ , Munirah Abdullah , Patrick Cowley , Suhas KurapatiⓉ
Barcelona A	Barcelona	1st	Opening Government	View Ballot	Lucy MurphyⒸ , Munirah Abdullah , Patrick Cowley , Suhas KurapatiⓉ
BeDU Berlin B	BeDU	4th	Closing Opposition	View Ballot	Theo SimionⒸ , Bert Jim Chang , Larion AklanⓉ
Duke A	Duke	1st	Opening Government	View Ballot	Theo SimionⒸ , Bert Jim Chang , Larion AklanⓉ
Duke B	Duke	3rd	Closing Government	View Ballot	Theo SimionⒸ , Bert Jim Chang , Larion AklanⓉ
TCD Hist B	TCD Hist	2nd	Opening Opposition	View Ballot	Theo SimionⒸ , Bert Jim Chang , Larion AklanⓉ
Malaya A	Malaya	4th	Closing Government	View Ballot	Sarenna McKellarⒸ , Hudáky Márton , Mark EtkindⓉ
UCL C	UCL	2nd	Opening Opposition	View Ballot	Sarenna McKellarⒸ , Hudáky Márton , Mark EtkindⓉ
Stanford /OUI	Stanford	1st	Closing Opposition	View Ballot	Sarenna McKellarⒸ , Hudáky Márton , Mark EtkindⓉ
Cambridge Swing 2	Cambridge	3rd	Opening Government	View Ballot	Sarenna McKellarⒸ , Hudáky Márton , Mark EtkindⓉ
BuDU ELTE A	BuDU	4th	Closing Opposition	View Ballot	Lovro MarušićⒸ , Robert MargessonⓉ
Middlebury A	Middlebury	2nd	Opening Government	View Ballot	Lovro MarušićⒸ , Robert MargessonⓉ
BCE Corvinus A	BCE	3rd	Opening Opposition	View Ballot	Lovro MarušićⒸ , Robert MargessonⓉ
Cambridge B	Cambridge	1st	Closing Government	View Ballot	Lovro MarušićⒸ , Robert MargessonⓉ
Oxford E	Oxford	1st	Closing Government	View Ballot	Ananya KrishnaⒸ , Anna Sawicka , Anthony Gong
Williams B	Williams	2nd	Opening Government	View Ballot	Ananya KrishnaⒸ , Anna Sawicka , Anthony Gong
Sciences Po A	Sciences Po	4th	Closing Opposition	View Ballot	Ananya KrishnaⒸ , Anna Sawicka , Anthony Gong
Cornell B	Cornell	3rd	Opening Opposition	View Ballot	Ananya KrishnaⒸ , Anna Sawicka , Anthony Gong
LSE A	LSE	1st	Closing Government	View Ballot	Alexandra McCreadieⒸ , Olivia Ortlieb , Terry YangⓉ
Oxford G	Oxford	2nd	Opening Opposition	View Ballot	Alexandra McCreadieⒸ , Olivia Ortlieb , Terry YangⓉ
Manchester/Edinburgh A	—	4th	Closing Opposition	View Ballot	Alexandra McCreadieⒸ , Olivia Ortlieb , Terry YangⓉ
Cambridge Swing 1	Cambridge	3rd	Opening Government	View Ballot	Alexandra McCreadieⒸ , Olivia Ortlieb , Terry YangⓉ
LSE C	LSE	3rd	Closing Opposition	View Ballot	Fraser McConachieⒸ , Alex Bavalsky , Josh BahkⓉ
Sciences Po B	Sciences Po	2nd	Opening Opposition	View Ballot	Fraser McConachieⒸ , Alex Bavalsky , Josh BahkⓉ
Duke D	Duke	4th	Opening Government	View Ballot	Fraser McConachieⒸ , Alex Bavalsky , Josh BahkⓉ
UCL E	UCL	1st	Closing Government	View Ballot	Fraser McConachieⒸ , Alex Bavalsky , Josh BahkⓉ
Dartmouth A	Dartmouth	1st	Opening Government	View Ballot	Jane MentzingerⒸ , Sophie Hannigan , Kayleigh ChristleyⓉ
Stanford B	Stanford	4th	Closing Opposition	View Ballot	Jane MentzingerⒸ , Sophie Hannigan , Kayleigh ChristleyⓉ
KCL D	KCL	3rd	Opening Opposition	View Ballot	Jane MentzingerⒸ , Sophie Hannigan , Kayleigh ChristleyⓉ
UoL Y	UoL	2nd	Closing Government	View Ballot	Jane MentzingerⒸ , Sophie Hannigan , Kayleigh ChristleyⓉ
Imperial C	Imperial	3rd	Opening Government	View Ballot	Max RosenⒸ , Hans Deepak , Taylor Cameron
BeDU Berlin A	BeDU	1st	Opening Opposition	View Ballot	Max RosenⒸ , Hans Deepak , Taylor Cameron
St Andrews FJ	St Andrews	2nd	Closing Opposition	View Ballot	Max RosenⒸ , Hans Deepak , Taylor Cameron
TCD Hist A	TCD Hist	4th	Closing Government	View Ballot	Max RosenⒸ , Hans Deepak , Taylor Cameron
Middlebury B	Middlebury	4th	Closing Government	View Ballot	Aymaan SheikhⒸ , Henry Luo , Joshua Oxley
Warwick B	Warwick	1st	Opening Government	View Ballot	Aymaan SheikhⒸ , Henry Luo , Joshua Oxley
Inner Temple A	Inner Temple	3rd	Closing Opposition	View Ballot	Aymaan SheikhⒸ , Henry Luo , Joshua Oxley
IIUM A	IIUM	2nd	Opening Opposition	View Ballot	Aymaan SheikhⒸ , Henry Luo , Joshua Oxley
IND McGill - Athabasca Hybrid	—	2nd	Opening Government	View Ballot	Zach Godley-McAvoyⒸ , Ayal Mor , Nathan WongⓉ
KCL A	KCL	3rd	Closing Opposition	View Ballot	Zach Godley-McAvoyⒸ , Ayal Mor , Nathan WongⓉ
Harvard/ LSE A	—	1st	Opening Opposition	View Ballot	Zach Godley-McAvoyⒸ , Ayal Mor , Nathan WongⓉ
NDU Norwich C	NDU	4th	Closing Government	View Ballot	Zach Godley-McAvoyⒸ , Ayal Mor , Nathan WongⓉ
Stanford E	Stanford	2nd	Opening Opposition	View Ballot	Isabella FreelandⒸ , Ahmad Tousif Jami , Emma Bell
TCD Hist C	TCD Hist	4th	Closing Government	View Ballot	Isabella FreelandⒸ , Ahmad Tousif Jami , Emma Bell
Denver A	Denver	3rd	Closing Opposition	View Ballot	Isabella FreelandⒸ , Ahmad Tousif Jami , Emma Bell
Cornell A	Cornell	1st	Opening Government	View Ballot	Isabella FreelandⒸ , Ahmad Tousif Jami , Emma Bell
Penn A	Penn	1st	Closing Government	View Ballot	Ana ComanⒸ , Dominic Camino , Rahul Datta , Alyssa UngureanuⓉ
Williams C	Williams	3rd	Closing Opposition	View Ballot	Ana ComanⒸ , Dominic Camino , Rahul Datta , Alyssa UngureanuⓉ
NDU Norwich B	NDU	4th	Opening Government	View Ballot	Ana ComanⒸ , Dominic Camino , Rahul Datta , Alyssa UngureanuⓉ
UoL X	UoL	2nd	Opening Opposition	View Ballot	Ana ComanⒸ , Dominic Camino , Rahul Datta , Alyssa UngureanuⓉ
MDU Manchester A	MDU	1st	Opening Government	View Ballot	Pjotr KosterⒸ , Rayaan Aly Khan , Rumen KanevⓉ
Durham A	Durham	2nd	Closing Government	View Ballot	Pjotr KosterⒸ , Rayaan Aly Khan , Rumen KanevⓉ
Imperial B	Imperial	4th	Closing Opposition	View Ballot	Pjotr KosterⒸ , Rayaan Aly Khan , Rumen KanevⓉ
Oxford F	Oxford	3rd	Opening Opposition	View Ballot	Pjotr KosterⒸ , Rayaan Aly Khan , Rumen KanevⓉ
Oxford C	Oxford	2nd	Opening Government	View Ballot	Lara DragojevićⒸ , Luca Lombardo , Daphné PhilippⓉ
UCL D	UCL	4th	Closing Opposition	View Ballot	Lara DragojevićⒸ , Luca Lombardo , Daphné PhilippⓉ
Williams A	Williams	3rd	Opening Opposition	View Ballot	Lara DragojevićⒸ , Luca Lombardo , Daphné PhilippⓉ
Oxford LM	Oxford	1st	Closing Government	View Ballot	Lara DragojevićⒸ , Luca Lombardo , Daphné PhilippⓉ
NDU Norwich A	NDU	3rd	Opening Government	View Ballot	Youngwoo ParkⒸ , Dharani Shashidaran , Jason Pocock , Quentin Aude-LangeⓉ
BCE Corvinus B	BCE	4th	Closing Government	View Ballot	Youngwoo ParkⒸ , Dharani Shashidaran , Jason Pocock , Quentin Aude-LangeⓉ
Duke C	Duke	1st	Opening Opposition	View Ballot	Youngwoo ParkⒸ , Dharani Shashidaran , Jason Pocock , Quentin Aude-LangeⓉ
Sciences Po C	Sciences Po	2nd	Closing Opposition	View Ballot	Youngwoo ParkⒸ , Dharani Shashidaran , Jason Pocock , Quentin Aude-LangeⓉ
