Rk	break	team	institution	Pts	Spk	1sts	2nds
1	1	Oxford LM	Oxford	14	808.00	4	1
2	2	Zagreb/ LSE A	—	13	821.00	3	2
3	3	Dartmouth A	Dartmouth	12	806.00	3	1
4	4	Oxford A	Oxford	11	828.00	3	1
5	5	UoL A	UoL	11	809.00	3	0
6	6	Oxford/Zagreb A	—	11	807.00	2	2
7	7	MDU Manchester A	MDU	11	803.00	3	0
8	8	Warwick A	Warwick	11	801.00	2	2
9	9	Stanford /OUI	Stanford	11	796.00	2	2
10	10	Harvard/ LSE A	—	11	795.00	3	1
11	11	Oxford F	Oxford	11	786.00	3	0
12	12	Oxford G	Oxford	11	786.00	1	4
13	(withdrawn)	Oxford B	Oxford	10	805.00	2	1
14	13	St Andrews MW	St Andrews	10	792.00	2	2
15	14	Oxford D	Oxford	10	790.00	3	0
16	15	BeDU Berlin A	BeDU	10	790.00	2	2
17	(ineligible)	Cambridge Swing 1	Cambridge	10	785.00	1	3
18	16	LSE B	LSE	10	782.00	2	1
