team	result	side	adjudicators
Cambridge A	advancing	Opening Government	Menachem WeberⒸ , Flora Baek , Gonçalo Teixeira , Jack “I don’t want teams to think” Stanley 🤔 , Naomi Gillis
Oxford G	eliminated	Closing Government	Menachem WeberⒸ , Flora Baek , Gonçalo Teixeira , Jack “I don’t want teams to think” Stanley 🤔 , Naomi Gillis
Belgrade B	eliminated	Closing Opposition	Menachem WeberⒸ , Flora Baek , Gonçalo Teixeira , Jack “I don’t want teams to think” Stanley 🤔 , Naomi Gillis
Oxford C	advancing	Opening Opposition	Menachem WeberⒸ , Flora Baek , Gonçalo Teixeira , Jack “I don’t want teams to think” Stanley 🤔 , Naomi Gillis
Copenhagen A	eliminated	Closing Government	Max RosenⒸ , Ana Coman , Ilija Ivanišević , Keerthana Bathula , Rushdoon Ahmed
EUDU MK	advancing	Opening Opposition	Max RosenⒸ , Ana Coman , Ilija Ivanišević , Keerthana Bathula , Rushdoon Ahmed
HUJI AA	advancing	Closing Opposition	Max RosenⒸ , Ana Coman , Ilija Ivanišević , Keerthana Bathula , Rushdoon Ahmed
UCL A	eliminated	Opening Government	Max RosenⒸ , Ana Coman , Ilija Ivanišević , Keerthana Bathula , Rushdoon Ahmed
KCL A	eliminated	Closing Opposition	Alishba IrfanⒸ , Elaye Karstadt , Fiachra Nolan , Theo Simion , Udai “I thought this was Dublin EUDC 2024” Kamath ⏰
Oxford B	eliminated	Closing Government	Alishba IrfanⒸ , Elaye Karstadt , Fiachra Nolan , Theo Simion , Udai “I thought this was Dublin EUDC 2024” Kamath ⏰
Oxford D	advancing	Opening Opposition	Alishba IrfanⒸ , Elaye Karstadt , Fiachra Nolan , Theo Simion , Udai “I thought this was Dublin EUDC 2024” Kamath ⏰
Athens A	advancing	Opening Government	Alishba IrfanⒸ , Elaye Karstadt , Fiachra Nolan , Theo Simion , Udai “I thought this was Dublin EUDC 2024” Kamath ⏰
EDS A	eliminated	Opening Opposition	Paula Breyer 🦉Ⓒ , Anna “running away from personal feedback” Shreder 🏃‍♀ , Dylan Leo Mc Carthy , Krish Singh , Nina McCartney
Munich A	eliminated	Closing Government	Paula Breyer 🦉Ⓒ , Anna “running away from personal feedback” Shreder 🏃‍♀ , Dylan Leo Mc Carthy , Krish Singh , Nina McCartney
LSE A	advancing	Opening Government	Paula Breyer 🦉Ⓒ , Anna “running away from personal feedback” Shreder 🏃‍♀ , Dylan Leo Mc Carthy , Krish Singh , Nina McCartney
Tel Aviv A	advancing	Closing Opposition	Paula Breyer 🦉Ⓒ , Anna “running away from personal feedback” Shreder 🏃‍♀ , Dylan Leo Mc Carthy , Krish Singh , Nina McCartney
