Rk	team	categories	R1	R2	R3	R4	R5	R6	R7	R8	R9	Pts	Spk	1sts	2nds	Irons	3rds
1	HUJI HY		1st	1st	1st	1st	1st	1st	2nd	1st	1st	26	1499	8	1	0	0
2	Manchester A		3rd	1st	1st	1st	1st	2nd	3rd	1st	2nd	21	1473	5	2	0	2
3	LSE B	ESL	2nd	1st	1st	1st	2nd	4th	1st	2nd	1st	21	1452	5	3	0	0
4	Oxford A		1st	1st	1st	4th	1st	1st	1st	3rd	3rd	20	1485	6	0	0	2
5	Zagreb A	ESL	2nd	2nd	1st	1st	2nd	2nd	1st	4th	1st	20	1483	4	4	0	0
6	Aberystwyth A		1st	2nd	1st	2nd	2nd	3rd	2nd	1st	2nd	20	1462	3	5	0	1
7	TCD Hist CM		1st	1st	1st	3rd	1st	3rd	1st	2nd	4th	19	1482	5	1	0	2
8	UCD L&amp;H A		1st	1st	3rd	2nd	4th	1st	1st	1st	3rd	19	1459	5	1	0	2
9	HUJI AA	ESL	1st	3rd	1st	1st	4th	1st	3rd	1st	2nd	19	1457	5	1	0	2
10	LSE A		3rd	3rd	1st	2nd	1st	4th	1st	1st	1st	19	1451	5	1	0	2
11	Athens A	ESL	2nd	1st	1st	3rd	3rd	2nd	1st	3rd	1st	19	1433	4	2	0	3
12	Oxford G		1st	3rd	1st	2nd	3rd	2nd	3rd	1st	1st	19	1428	4	2	0	3
13	Cambridge A		1st	1st	4th	2nd	2nd	1st	1st	3rd	3rd	18	1464	4	2	0	2
14	Oxford B		1st	3rd	1st	3rd	1st	4th	1st	1st	3rd	18	1451	5	0	0	3
15	Munich A	ESL	1st	1st	2nd	2nd	3rd	1st	2nd	4th	2nd	18	1451	3	4	0	1
16	UCL A		1st	2nd	1st	4th	1st	3rd	2nd	2nd	2nd	18	1445	3	4	0	1
17	Copenhagen A	ESL	1st	1st	4th	1st	2nd	4th	2nd	2nd	1st	18	1436	4	3	0	0
18	EDS A		1st	1st	2nd	1st	4th	1st	3rd	4th	1st	18	1435	5	1	0	1
19	KCL A		2nd	3rd	2nd	3rd	2nd	1st	1st	3rd	1st	18	1424	3	3	0	3
20	Belgrade B	ESL	2nd	1st	2nd	4th	1st	4th	1st	1st	2nd	18	1423	4	3	0	0
21	Oxford C		2nd	1st	3rd	1st	1st	4th	2nd	2nd	2nd	18	1420	3	4	0	1
22	Oxford D		2nd	2nd	2nd	1st	2nd	3rd	3rd	2nd	1st	18	1413	2	5	0	2
23	Tel Aviv A	ESL	1st	4th	1st	1st	1st	1st	4th	2nd	4th	17	1445	5	1	0	0
24	EUDU MK		1st	4th	1st	1st	2nd	4th	1st	3rd	2nd	17	1438	4	2	0	1
25	Vienna A	ESL	1st	2nd	3rd	1st	2nd	2nd	3rd	4th	1st	17	1434	3	3	0	2
26=	Imperial A		4th	1st	1st	3rd	1st	2nd	4th	2nd	1st	17	1429	4	2	0	1
26=	Belgrade A	ESL	2nd	2nd	1st	1st	3rd	4th	1st	1st	4th	17	1429	4	2	0	1
28	Tartu A	ESL	1st	1st	2nd	2nd	4th	3rd	2nd	1st	3rd	17	1424	3	3	0	2
29	St Andrews A		1st	3rd	3rd	1st	3rd	1st	1st	2nd	4th	17	1421	4	1	0	3
30	Oxford E		1st	2nd	2nd	2nd	1st	2nd	4th	4th	1st	17	1417	3	4	0	0
31	St Andrews C		2nd	1st	3rd	4th	2nd	2nd	2nd	1st	2nd	17	1408	2	5	0	1
32	Zurich A		4th	1st	2nd	2nd	4th	1st	3rd	1st	1st	17	1405	4	2	0	1
33	Amsterdam OI	ESL	1st	3rd	2nd	2nd	4th	1st	3rd	2nd	1st	17	1405	3	3	0	2
34	Technion A	ESL	1st	2nd	1st	3rd	3rd	3rd	3rd	2nd	2nd	16	1435	2	3	0	4
35	TCD Phil A		1st	2nd	4th	1st	1st	1st	4th	4th	2nd	16	1420	4	2	0	0
36	Trivium B	ESL	1st	1st	3rd	1st	3rd	3rd	1st	3rd	4th	16	1420	4	0	0	4
37	GUU B		2nd	3rd	1st	4th	1st	1st	4th	1st	3rd	16	1417	4	1	0	2
38	Warwick YZ		1st	1st	4th	1st	4th	1st	2nd	2nd	4th	16	1416	4	2	0	0
39	EUDU BF		1st	2nd	4th	1st	1st	2nd	4th	3rd	2nd	16	1416	3	3	0	1
40	Sciences Po A		1st	1st	3rd	3rd	2nd	3rd	4th	2nd	1st	16	1414	3	2	0	3
41	TCD Hist AM		2nd	2nd	3rd	1st	3rd	2nd	3rd	1st	3rd	16	1411	2	3	0	4
42	Munich B	ESL	2nd	1st	3rd	4th	4th	2nd	1st	1st	2nd	16	1409	3	3	0	1
43	EUDU FW		4th	2nd	2nd	3rd	1st	1st	2nd	4th	1st	16	1404	3	3	0	1
44	Exeter A		3rd	1st	2nd	2nd	2nd	2nd	3rd	4th	1st	16	1403	2	4	0	2
45	Haifa A	ESL	1st	4th	2nd	2nd	1st	4th	4th	1st	1st	16	1401	4	2	0	0
46	Imperial B		1st	4th	1st	2nd	3rd	3rd	2nd	2nd	2nd	16	1399	2	4	0	2
47	Belgrade D	ESL	2nd	2nd	2nd	3rd	4th	1st	1st	2nd	3rd	16	1392	2	4	0	2
48	TCD Phil B		1st	2nd	3rd	2nd	2nd	2nd	3rd	2nd	3rd	16	1392	1	5	0	3
49	BGU B	ESL	2nd	4th	1st	2nd	1st	1st	4th	1st	4th	16	1387	4	2	0	0
50	Oxford F		1st	3rd	3rd	2nd	2nd	1st	4th	1st	3rd	16	1387	3	2	0	3
51	Belgrade Arts A	ESL	2nd	1st	4th	3rd	1st	3rd	1st	3rd	2nd	16	1376	3	2	0	3
52	Weizmann A	ESL	2nd	4th	1st	4th	1st	4th	1st	2nd	1st	16	1370	4	2	0	0
53	St Andrews B		3rd	2nd	1st	2nd	3rd	2nd	2nd	2nd	4th	15	1413	1	5	0	2
54	Belgrade C	ESL	2nd	2nd	4th	1st	1st	1st	3rd	3rd	4th	15	1406	3	2	0	2
55	Technion B	ESL	1st	2nd	4th	2nd	3rd	2nd	4th	1st	2nd	15	1401	2	4	0	1
56	BGU A	ESL	1st	3rd	1st	3rd	4th	2nd	2nd	2nd	3rd	15	1401	2	3	0	3
57=	KCL B		3rd	2nd	1st	3rd	2nd	1st	2nd	3rd	4th	15	1397	2	3	0	3
57=	Zagreb B	ESL	3rd	1st	2nd	2nd	2nd	4th	3rd	1st	3rd	15	1397	2	3	0	3
59	TCD Hist KGW		2nd	3rd	2nd	1st	4th	2nd	2nd	3rd	2nd	15	1390	1	5	0	2
60	NU S	ESL	2nd	3rd	1st	2nd	4th	4th	1st	1st	3rd	15	1388	3	2	0	2
61	Tel Aviv RO	ESL	2nd	1st	4th	4th	4th	2nd	1st	2nd	1st	15	1384	3	3	0	0
62	Durham A		1st	3rd	1st	3rd	4th	3rd	3rd	1st	2nd	15	1382	3	1	0	4
63	Nottingham A		3rd	1st	2nd	3rd	2nd	4th	2nd	1st	3rd	15	1382	2	3	0	3
64	Technion D	ESL	1st	4th	4th	1st	1st	2nd	3rd	3rd	2nd	15	1377	3	2	0	2
65	TCD Hist HS		3rd	2nd	3rd	2nd	2nd	2nd	3rd	3rd	1st	15	1374	1	4	0	4
66	Sciences Po D	ESL	3rd	1st	4th	4th	1st	2nd	1st	4th	1st	15	1372	4	1	0	1
67	Utrecht A	ESL	4th	2nd	2nd	2nd	3rd	2nd	2nd	3rd	1st	15	1369	1	5	0	2
68	Vienna B		1st	4th	3rd	3rd	1st	1st	4th	2nd	2nd	15	1367	3	2	0	2
69	UCL C		2nd	3rd	2nd	4th	1st	3rd	2nd	3rd	1st	15	1364	2	3	0	3
70	Zagreb D	ESL	4th	1st	4th	1st	4th	3rd	1st	2nd	1st	15	1358	4	1	0	1
71	Aberystwyth B		3rd	1st	3rd	4th	2nd	1st	1st	3rd	3rd	15	1354	3	1	0	4
72	GUU A		2nd	3rd	3rd	1st	3rd	1st	4th	1st	4th	14	1410	3	1	0	3
73	EUDU DM		1st	2nd	2nd	2nd	4th	4th	2nd	3rd	2nd	14	1402	1	5	0	1
74	Cardiff A		1st	2nd	2nd	3rd	4th	1st	3rd	3rd	3rd	14	1398	2	2	0	4
75	Warsaw HI	ESL	2nd	2nd	3rd	1st	1st	3rd	2nd	4th	4th	14	1397	2	3	0	2
76	UCL B		4th	1st	2nd	3rd	1st	3rd	3rd	1st	4th	14	1392	3	1	0	3
77	TCD Phil D		3rd	1st	1st	4th	1st	3rd	1st	4th	4th	14	1391	4	0	0	2
78	UCD L&amp;H B		4th	1st	3rd	1st	2nd	2nd	2nd	3rd	4th	14	1391	2	3	0	2
79	Berlin A	ESL	3rd	3rd	1st	4th	1st	3rd	1st	4th	2nd	14	1390	3	1	0	3
80	Weizmann B	ESL	1st	3rd	3rd	2nd	3rd	2nd	4th	3rd	1st	14	1381	2	2	0	4
81	OUI AA	ESL	3rd	1st	4th	1st	3rd	1st	2nd	4th	3rd	14	1379	3	1	0	3
82	Bristol B		4th	3rd	1st	4th	2nd	2nd	1st	2nd	3rd	14	1375	2	3	0	2
83	UAM A	ESL	2nd	3rd	3rd	2nd	2nd	3rd	2nd	3rd	2nd	14	1375	0	5	0	4
84	Bucharest AV	ESL	2nd	1st	3rd	4th	4th	1st	3rd	2nd	2nd	14	1374	2	3	0	2
85	Durham B		3rd	2nd	1st	4th	3rd	1st	3rd	4th	1st	14	1372	3	1	0	3
86	TCD Phil C		4th	2nd	1st	3rd	1st	4th	3rd	3rd	1st	14	1365	3	1	0	3
87	Athens B	ESL	3rd	2nd	2nd	3rd	2nd	2nd	3rd	3rd	2nd	14	1365	0	5	0	4
88	Amsterdam RZ		2nd	4th	4th	3rd	2nd	3rd	1st	1st	2nd	14	1364	2	3	0	2
89	Bristol A		3rd	2nd	3rd	1st	2nd	2nd	4th	2nd	3rd	14	1358	1	4	0	3
90	CHU A	ESL	4th	2nd	2nd	2nd	2nd	4th	2nd	1st	3rd	14	1349	1	5	0	1
91	Sciences Po B	ESL	3rd	4th	4th	2nd	1st	4th	1st	2nd	1st	14	1341	3	2	0	1
92	Sciences Po C		3rd	4th	1st	3rd	3rd	1st	2nd	4th	1st	14	1339	3	1	0	3
93	EUDU CS		2nd	3rd	3rd	1st	4th	1st	4th	2nd	3rd	13	1395	2	2	0	3
94	Chronos A	ESL	2nd	3rd	2nd	3rd	1st	3rd	1st	4th	4th	13	1393	2	2	0	3
95	Oxford H		2nd	2nd	2nd	4th	4th	1st	1st	3rd	4th	13	1387	2	3	0	1
96	HUJI MM	ESL	3rd	2nd	2nd	3rd	3rd	1st	2nd	3rd	4th	13	1385	1	3	0	4
97	Trivium A	ESL	2nd	1st	2nd	4th	4th	2nd	4th	1st	3rd	13	1376	2	3	0	1
98	Tel Aviv OY	ESL	2nd	4th	2nd	3rd	1st	3rd	4th	1st	3rd	13	1376	2	2	0	3
99	Amsterdam AB		4th	2nd	2nd	4th	4th	1st	1st	4th	1st	13	1375	3	2	0	0
100	Cicero SK	ESL	4th	1st	4th	2nd	2nd	3rd	1st	2nd	4th	13	1374	2	3	0	1
101	TCD Phil E		2nd	2nd	4th	2nd	3rd	4th	1st	4th	1st	13	1372	2	3	1	1
102	Aachen JJ	ESL	4th	1st	4th	1st	4th	3rd	2nd	1st	3rd	13	1371	3	1	0	2
103	TUT A	ESL	4th	1st	2nd	3rd	3rd	3rd	4th	2nd	1st	13	1365	2	2	0	3
104	UCD LawSoc B		2nd	4th	2nd	3rd	4th	3rd	2nd	1st	2nd	13	1364	1	4	1	2
105	Corvinus A	ESL	3rd	2nd	4th	1st	2nd	4th	2nd	3rd	2nd	13	1361	1	4	0	2
106	Zagreb C	ESL	2nd	4th	4th	1st	3rd	1st	4th	1st	3rd	13	1360	3	1	0	2
107	RRIS A		4th	1st	4th	2nd	2nd	4th	1st	1st	4th	13	1358	3	2	0	0
108	GUU D		3rd	2nd	4th	2nd	2nd	2nd	4th	2nd	2nd	13	1358	0	6	0	1
109	Berlin B		4th	2nd	3rd	4th	3rd	1st	3rd	1st	2nd	13	1351	2	2	0	3
110	Weizmann D	ESL	3rd	3rd	1st	4th	2nd	4th	1st	3rd	2nd	13	1348	2	2	0	3
111	Warwick AS		4th	2nd	2nd	1st	3rd	4th	3rd	3rd	1st	13	1347	2	2	0	3
112	Bucharest C	ESL	3rd	3rd	4th	3rd	1st	1st	1st	4th	3rd	13	1346	3	0	0	4
113=	Manchester B		4th	1st	3rd	1st	4th	2nd	2nd	4th	2nd	13	1345	2	3	0	1
113=	Ljubljana A	ESL	4th	2nd	1st	2nd	3rd	4th	2nd	1st	4th	13	1345	2	3	0	1
