Rk	break	team	Pts	Spk	1sts	2nds
1	1	Kalavagunta and Lu	23	1489.00	6	2
2	2	Dartmouth A	21	1473.00	5	2
3	3	McGill RM	20	1468.00	3	5
4	4	Harvard GM	20	1459.00	5	2
5	5	Stanford LS	19	1472.00	4	3
6	6	Yale NS	19	1467.00	4	3
7	7	Queen&#x27;s Nimai Abernethy	18	1441.00	3	3
8	8	California girls, we&#x27;re unforgetta	18	1434.00	3	4
9	9	Stanford BD	18	1415.00	3	4
10	10	Yale ST	17	1456.00	3	3
11	11	HH The Last Dance	17	1448.00	4	1
12	12	Harvard AL	17	1433.00	4	1
13	13	HH Xi Simping	17	1429.00	2	5
14	14	UBC TB	16	1441.00	4	1
15	15	Columbia C	16	1424.00	3	2
16	16	HWS A	16	1419.00	3	3
