Rk	team	categories	R1	R2	R3	R4	R5	R6	R7	R8	R9	Pts	Spk	1sts	2nds
1	Kalavagunta and Lu		1st	1st	1st	1st	2nd	1st	2nd	3rd	1st	23	1489	6	2
2	Dartmouth A		2nd	1st	1st	2nd	3rd	1st	1st	1st	3rd	21	1473	5	2
3	McGill RM		1st	2nd	1st	2nd	2nd	2nd	3rd	1st	2nd	20	1468	3	5
4	Harvard GM		1st	2nd	4th	1st	1st	3rd	1st	2nd	1st	20	1459	5	2
5	Stanford LS		2nd	1st	2nd	1st	1st	3rd	1st	2nd	4th	19	1472	4	3
6	Yale NS		1st	1st	2nd	3rd	1st	2nd	4th	1st	2nd	19	1467	4	3
7	Queen&#x27;s Nimai Abernethy		2nd	2nd	1st	3rd	2nd	1st	3rd	3rd	1st	18	1441	3	3
8	California girls, we&#x27;re unforgetta		2nd	2nd	3rd	1st	2nd	2nd	1st	4th	1st	18	1434	3	4
9	Stanford BD		4th	2nd	1st	1st	2nd	2nd	2nd	1st	3rd	18	1415	3	4
10	Yale ST		2nd	3rd	1st	3rd	1st	1st	2nd	4th	2nd	17	1456	3	3
11	HH The Last Dance		1st	1st	4th	1st	3rd	3rd	1st	3rd	2nd	17	1448	4	1
12	Harvard AL		3rd	1st	2nd	3rd	1st	4th	1st	3rd	1st	17	1433	4	1
13	HH Xi Simping		2nd	2nd	4th	2nd	2nd	3rd	1st	2nd	1st	17	1429	2	5
14	UBC TB		1st	1st	3rd	2nd	1st	4th	3rd	4th	1st	16	1441	4	1
15	Columbia C	Novice	3rd	1st	1st	1st	4th	3rd	2nd	2nd	3rd	16	1424	3	2
16	HWS A	ESL	1st	3rd	2nd	1st	4th	1st	2nd	4th	2nd	16	1419	3	3
17	MLE Choppa		3rd	1st	3rd	2nd	1st	4th	2nd	1st	3rd	16	1418	3	2
18	Columbia A		2nd	4th	3rd	1st	2nd	1st	2nd	1st	4th	16	1417	3	3
19	HH Whose gonna carry the boat?!		1st	2nd	3rd	3rd	3rd	2nd	4th	1st	1st	16	1416	3	2
20	Paradise City	Novice	1st	3rd	3rd	2nd	4th	2nd	2nd	1st	2nd	16	1407	2	4
21	Last Hurrah		1st	4th	1st	4th	3rd	3rd	1st	2nd	1st	16	1402	4	1
22	UWODS A		1st	2nd	1st	4th	1st	4th	1st	4th	3rd	15	1435	4	1
23	Yale DG		2nd	1st	2nd	4th	2nd	2nd	3rd	3rd	2nd	15	1426	1	5
24	Stanford QF		1st	3rd	1st	1st	4th	1st	4th	2nd	4th	15	1425	4	1
25	Harvard HS		1st	3rd	1st	3rd	2nd	2nd	4th	4th	1st	15	1425	3	2
26	Stanford CT		1st	3rd	2nd	2nd	3rd	3rd	4th	2nd	1st	15	1417	2	3
27	UCBerkeley HE		2nd	4th	2nd	3rd	1st	2nd	3rd	2nd	2nd	15	1417	1	5
28	Queen&#x27;s Lily Larkins		3rd	3rd	1st	3rd	1st	4th	1st	1st	4th	15	1397	4	0
