Rk	break	team	Pts	Spk	DSS	1sts	2nds
1	(different break)	HUJI AA	11	806.00	11906.00	3	1
2	(different break)	Vukovar A	11	793.00	11798.00	1	4
3	(different break)	Malaya A	10	788.00	11770.00	1	3
4	(different break)	Malaya/Taylor&#x27;s SA	10	787.00	11650.00	2	2
5	1	Fudan A	10	779.00	11598.00	3	0
6	2	Open MR	10	632.00	8729.00	3	0
7	3	Copenhagen PS	9	794.00	11084.00	2	1
8	4	Open GF	9	791.00	11730.00	2	1
9	5	Oxford The Couch	9	780.00	11694.00	1	3
10	6	SRCC KN	9	778.00	11583.00	1	2
11	7	GoD AK	9	763.00	11391.00	1	2
12	8	Ted owns his shit	8	785.00	11748.00	2	0
