Rk	team	R1	R2	R3	R4	R5	Pts	Spk	1sts	2nds
1	Oxford A (I am currently out of the office	1st	1st	2nd	1st	1st	14	821	4	1
2	LSE A	1st	1st	3rd	1st	2nd	12	818	3	1
3	Oxford AP	1st	1st	4th	1st	1st	12	806	4	0
4	LSE (C)unt means friend in Australia	2nd	1st	1st	2nd	3rd	11	819	2	2
5	An Irish commie and a Bulgarian fa	1st	2nd	1st	3rd	2nd	11	812	2	2
6	Yale milei haters	2nd	2nd	3rd	1st	1st	11	793	2	2
7	Josh says no making pasta at 2 AM	2nd	1st	4th	1st	1st	11	786	3	1
8	EDS we bully cuds all the time	3rd	1st	2nd	1st	2nd	11	781	2	2
9	Only here to outtab our A Team	2nd	2nd	2nd	2nd	2nd	10	801	0	5
10	UCL B	3rd	1st	1st	3rd	2nd	10	799	2	1
11	St. Andrews OBohmna	1st	4th	3rd	1st	1st	10	795	3	0
12	Better enemy to friend arc than Bri	2nd	4th	2nd	1st	1st	10	791	2	2
13	McGill When Humie met Andy	2nd	1st	2nd	2nd	3rd	10	784	1	3
14	HWS Mileyfanclub	1st	3rd	2nd	1st	3rd	10	782	2	1
15	Kings College London It’s better than LSE	1st	1st	1st	4th	4th	9	803	3	0
16	Athens A	3rd	1st	4th	2nd	1st	9	802	2	1
17	Imperial A	1st	3rd	1st	4th	2nd	9	798	2	1
18	Oxford GG	2nd	2nd	3rd	1st	3rd	9	792	1	2
19	Zagreb A	1st	4th	1st	4th	1st	9	791	3	0
20	Aberystwyth (A) boy from Wales called Gareth B	1st	3rd	3rd	2nd	2nd	9	791	1	2
21	Swing Thundercat	4th	1st	—	1st	1st	9	622	3	0
22	TCD Phil A	2nd	3rd	3rd	1st	3rd	8	797	1	1
23	GUU A fire?! At a Sea Park	3rd	2nd	1st	2nd	4th	8	792	1	2
24	Socrat-Deez Nuts	1st	3rd	1st	4th	3rd	8	787	2	0
25	ETH Zurich ereum	1st	2nd	2nd	3rd	4th	8	787	1	2
26	EUDU Pain isn’t real, its all in your h	2nd	1st	3rd	2nd	4th	8	786	1	2
27	TCD Phil The other artists formerly known a	3rd	1st	4th	3rd	1st	8	785	2	0
28	Exeter Neither Average Nor Intelligent	3rd	2nd	2nd	3rd	2nd	8	784	0	3
29	One day, One Dream	2nd	4th	2nd	2nd	2nd	8	779	0	4
30	UCL A	2nd	4th	1st	2nd	3rd	8	778	1	2
31	EUDU If we can&#x27;t win, (B)a(f)fle	2nd	3rd	3rd	3rd	1st	8	774	1	1
32	TCD Hist We are running away from our respo	4th	1st	4th	2nd	1st	8	757	2	1
33	HUJI A&amp;A	1st	4th	2nd	2nd	4th	7	790	1	2
34	EUDU Marafun and maranone	2nd	2nd	4th	2nd	3rd	7	789	0	3
35	Trivium B	3rd	3rd	1st	3rd	3rd	7	785	1	0
36	Sciences Po Lygamy	1st	2nd	4th	4th	2nd	7	783	1	2
37	Kings College London this time we have bitches	2nd	3rd	1st	3rd	4th	7	783	1	1
38	Finance, trust fund, 6&#x27;5, blue eye	4th	1st	2nd	4th	2nd	7	775	1	2
39	TCD Hist Ziyad stop speaking with former WS	3rd	2nd	1st	3rd	4th	7	772	1	1
40	Queen’s QDU A	1st	2nd	3rd	4th	3rd	7	771	1	1
41	UAP BBL Drizzy	4th	3rd	1st	4th	1st	7	758	2	0
42	Exeter Will sell team name rights 4 Euros	4th	3rd	1st	3rd	2nd	7	758	1	1
43	NU SA	2nd	4th	1st	3rd	4th	6	764	1	1
44	EUDU unshiteled	3rd	3rd	3rd	1st	4th	6	764	1	0
45	Untitled Pre ABP	4th	2nd	3rd	3rd	2nd	6	764	0	2
46	Hart House MI6	4th	1st	2nd	4th	3rd	6	757	1	1
47	Why’d You Choose the Bear	3rd	2nd	3rd	4th	3rd	5	763	0	1
48	GUU But I&#x27;m not aroused — it&#x27;s only ca	4th	3rd	2nd	2nd	4th	5	757	0	2
49	UCL (C)learly sleep deprived from time	3rd	4th	3rd	1st	4th	5	749	1	0
50	EDS I don’t like work but unfortunatel	4th	4th	2nd	4th	1st	5	726	1	1
51	Imperial Novice Underdogs	4th	3rd	3rd	2nd	3rd	5	724	0	1
52	Swing Jay Rock	4th	2nd	—	4th	1st	5	609	1	1
53	Lara i Lovro	1st	4th	4th	3rd	4th	4	762	1	0
54	GUU What is Street Countdown? It is mo	3rd	4th	4th	3rd	2nd	4	761	0	1
55	Warwick Snapping Spaghetti in Half Every T	4th	4th	3rd	2nd	3rd	4	754	0	1
56	IIT Bombay Nitish Kumar decides who goes PM	4th	2nd	2nd	4th	4th	4	746	0	2
57	TCD Hist Too employed to spend time debatin	3rd	4th	4th	—	2nd	3	608	0	1
58	Jesus died from/for this	4th	2nd	4th	3rd	—	3	602	0	1
59	TCD Phil KoKelly Fella	2nd	3rd	4th	—	—	3	460	0	1
60	Swing Keem	4th	4th	—	1st	—	3	446	1	0
61	Tartu B	3rd	4th	4th	4th	3rd	2	751	0	0
62	USTC	3rd	3rd	4th	4th	4th	2	732	0	0
63	Berkeley A	3rd	3rd	—	—	—	2	308	0	0
64	Manchester Special Detachment	4th	4th	4th	—	4th	0	568	0	0
