team	result	side	adjudicators
Zagreb A	advancing	Closing Opposition	Diego DuarteⒸ , Dohyun (Daniel) Kim , Ellie Stephenson , Miloš Marjanović , Sam Huang
Princeton A	eliminated	Closing Government	Diego DuarteⒸ , Dohyun (Daniel) Kim , Ellie Stephenson , Miloš Marjanović , Sam Huang
Cambridge B	eliminated	Opening Opposition	Diego DuarteⒸ , Dohyun (Daniel) Kim , Ellie Stephenson , Miloš Marjanović , Sam Huang
McGill A	advancing	Opening Government	Diego DuarteⒸ , Dohyun (Daniel) Kim , Ellie Stephenson , Miloš Marjanović , Sam Huang
ANU A	eliminated	Closing Opposition	Nasa TsuchiyaⒸ , Luigi Alcaneses , Naomi Panovka , Novak Celebic , Sharuka Wikramanayake
UT MARA C	eliminated	Closing Government	Nasa TsuchiyaⒸ , Luigi Alcaneses , Naomi Panovka , Novak Celebic , Sharuka Wikramanayake
Oxford B	advancing	Opening Opposition	Nasa TsuchiyaⒸ , Luigi Alcaneses , Naomi Panovka , Novak Celebic , Sharuka Wikramanayake
TAU A	advancing	Opening Government	Nasa TsuchiyaⒸ , Luigi Alcaneses , Naomi Panovka , Novak Celebic , Sharuka Wikramanayake
Berkeley A	eliminated	Closing Opposition	Leah MercierⒸ , Christopher Kevin , Mauricio Jarufe Caballero , Paolo Taino , Umar Buckus
NTU B	eliminated	Closing Government	Leah MercierⒸ , Christopher Kevin , Mauricio Jarufe Caballero , Paolo Taino , Umar Buckus
Oxford A	advancing	Opening Opposition	Leah MercierⒸ , Christopher Kevin , Mauricio Jarufe Caballero , Paolo Taino , Umar Buckus
Sydney D	advancing	Opening Government	Leah MercierⒸ , Christopher Kevin , Mauricio Jarufe Caballero , Paolo Taino , Umar Buckus
Ateneo CF	eliminated	Closing Opposition	Martha McKinney-PerryⒸ , Banun Sabri , Senkai Hsia , Shaun Lee , Sreyan Kanungo
Dartmouth A	advancing	Closing Government	Martha McKinney-PerryⒸ , Banun Sabri , Senkai Hsia , Shaun Lee , Sreyan Kanungo
UNSW A	advancing	Opening Opposition	Martha McKinney-PerryⒸ , Banun Sabri , Senkai Hsia , Shaun Lee , Sreyan Kanungo
Sydney H	eliminated	Opening Government	Martha McKinney-PerryⒸ , Banun Sabri , Senkai Hsia , Shaun Lee , Sreyan Kanungo
Harvard D	eliminated	Closing Opposition	Pranav KagalkarⒸ , Jessica Musulin , Mia Freeland , Tan Yao Kun , Tin Puljić
Sciences Po A	eliminated	Closing Government	Pranav KagalkarⒸ , Jessica Musulin , Mia Freeland , Tan Yao Kun , Tin Puljić
Bucharest A	advancing	Opening Opposition	Pranav KagalkarⒸ , Jessica Musulin , Mia Freeland , Tan Yao Kun , Tin Puljić
Stanford A	advancing	Opening Government	Pranav KagalkarⒸ , Jessica Musulin , Mia Freeland , Tan Yao Kun , Tin Puljić
Sydney A	advancing	Closing Opposition	Shudipto R. AhmedⒸ , Abhishek Acharya , Kat Cheng , Matt Caito , Teye Prince-Daniel
UChicago C	eliminated	Closing Government	Shudipto R. AhmedⒸ , Abhishek Acharya , Kat Cheng , Matt Caito , Teye Prince-Daniel
Sydney E	eliminated	Opening Opposition	Shudipto R. AhmedⒸ , Abhishek Acharya , Kat Cheng , Matt Caito , Teye Prince-Daniel
UChicago B	advancing	Opening Government	Shudipto R. AhmedⒸ , Abhishek Acharya , Kat Cheng , Matt Caito , Teye Prince-Daniel
Sydney F	advancing	Closing Opposition	Asher Max SpectorⒸ , Daud Hernoud Loudoe , Davida Paul , Sourodip Paul , Terkpertey Andrews Terku
Yale A	eliminated	Closing Government	Asher Max SpectorⒸ , Daud Hernoud Loudoe , Davida Paul , Sourodip Paul , Terkpertey Andrews Terku
NUS A	advancing	Opening Opposition	Asher Max SpectorⒸ , Daud Hernoud Loudoe , Davida Paul , Sourodip Paul , Terkpertey Andrews Terku
Princeton G	eliminated	Opening Government	Asher Max SpectorⒸ , Daud Hernoud Loudoe , Davida Paul , Sourodip Paul , Terkpertey Andrews Terku
Belgrade A	advancing	Closing Opposition	Robert BarrieⒸ , Ann Cao , Bea Legaspi , Niki Angelov , Umar Fazlan
Sydney B	advancing	Closing Government	Robert BarrieⒸ , Ann Cao , Bea Legaspi , Niki Angelov , Umar Fazlan
UCLA A	eliminated	Opening Opposition	Robert BarrieⒸ , Ann Cao , Bea Legaspi , Niki Angelov , Umar Fazlan
Hart House B	eliminated	Opening Government	Robert BarrieⒸ , Ann Cao , Bea Legaspi , Niki Angelov , Umar Fazlan
