Rk	team	categories	R1	R2	R3	R4	R5	Pts	Spk	1sts	2nds
1	Stanford B		1st	1st	1st	1st	1st	15	823	5	0
2	Harvard B		1st	1st	2nd	2nd	1st	13	804	3	2
3	Chicago A		2nd	1st	1st	1st	2nd	13	802	3	2
4	Stanford A		2nd	1st	1st	2nd	1st	13	800	3	2
5	PDP C		1st	1st	3rd	1st	2nd	12	802	3	1
6	Cornell A		1st	2nd	3rd	1st	1st	12	800	3	1
7	Columbia B		1st	2nd	2nd	1st	2nd	12	794	2	3
8	PDS J	Novice	1st	2nd	1st	3rd	1st	12	791	3	1
9	Harvard/Bates A		1st	4th	1st	2nd	1st	11	815	3	1
10	MDU B		1st	2nd	1st	2nd	3rd	11	810	2	2
11	Columbia A		1st	1st	3rd	3rd	1st	11	800	3	0
12	Harvard A		1st	2nd	2nd	2nd	2nd	11	797	1	4
13	Chicago B		2nd	3rd	1st	2nd	1st	11	791	2	2
14	EDS A		2nd	3rd	1st	2nd	1st	11	783	2	2
15	JHU A		3rd	1st	2nd	1st	2nd	11	771	2	2
16	UCLA A		1st	1st	1st	3rd	4th	10	803	3	0
17	Harvard E		1st	1st	4th	1st	3rd	10	801	3	0
18	PDS A		1st	2nd	2nd	3rd	2nd	10	798	1	3
19	PDP A		3rd	1st	1st	1st	4th	10	797	3	0
20	PDP D		2nd	2nd	2nd	1st	3rd	10	795	1	3
21	Stanford C		1st	1st	4th	3rd	1st	10	792	3	0
22	Boston University/Amherst College		1st	1st	2nd	4th	2nd	10	792	2	2
23	Independent A		1st	3rd	1st	3rd	2nd	10	789	2	1
24	PDS C		2nd	3rd	1st	2nd	2nd	10	788	1	3
25	PDP B		2nd	1st	2nd	2nd	3rd	10	787	1	3
26	HH A		2nd	1st	2nd	2nd	3rd	10	784	1	3
27=	Stanford F		3rd	1st	1st	4th	1st	10	783	3	0
27=	Stanford G		1st	3rd	1st	4th	1st	10	783	3	0
29	MDU A		1st	2nd	4th	2nd	1st	10	778	2	2
30	PDP E	Novice	2nd	2nd	1st	4th	1st	10	776	2	2
31	Yale C	Novice	1st	1st	3rd	3rd	3rd	9	797	2	0
32	PDS B		1st	3rd	2nd	4th	1st	9	794	2	1
33	PDS H	Novice	1st	3rd	3rd	1st	3rd	9	793	2	0
34	DSB A		2nd	1st	3rd	1st	4th	9	789	2	1
35	EDS B		2nd	2nd	2nd	4th	1st	9	785	1	3
36	Bates A		2nd	3rd	1st	4th	1st	9	783	2	1
37	Stanford H		3rd	2nd	2nd	1st	3rd	9	776	1	2
38	Cornell B	Novice	2nd	3rd	3rd	1st	2nd	9	774	1	2
39	DSB C	Novice	2nd	3rd	1st	3rd	2nd	9	771	1	2
40	UCLA B	Novice	2nd	4th	1st	3rd	1st	9	769	2	1
41	HWS A		2nd	4th	2nd	1st	2nd	9	769	1	3
42	PDP K	Novice	2nd	2nd	3rd	2nd	2nd	9	767	0	4
43	DUDU B		4th	2nd	1st	3rd	1st	9	765	2	1
44	PDS D	Novice	4th	2nd	1st	1st	3rd	9	764	2	1
45	HH B		3rd	1st	3rd	2nd	2nd	9	763	1	2
46	QDU B		2nd	1st	3rd	4th	1st	9	749	2	1
47	HWS C		1st	2nd	4th	1st	4th	8	782	2	1
48	BDU A	Novice	3rd	2nd	3rd	1st	3rd	8	782	1	1
49	PDS I	Novice	4th	1st	2nd	1st	4th	8	775	2	1
50	Columbia D	Novice	4th	1st	2nd	2nd	3rd	8	775	1	2
51	HH E		1st	2nd	1st	4th	4th	8	774	2	1
52	Rochester A		1st	4th	1st	3rd	3rd	8	774	2	0
53	Harvard F	Novice	2nd	1st	4th	1st	4th	8	772	2	1
54	UCLA C	Novice	2nd	1st	4th	4th	1st	8	770	2	1
55	L&amp;C A		2nd	2nd	4th	2nd	2nd	8	768	0	4
