Rk	team	categories	R1	R2	R3	R4	R5	R6	R7	R8	R9	Pts	Spk	1sts	2nds	3rds	Irons
1	Oxford A	ESL	1st	1st	2nd	2nd	1st	1st	1st	2nd	1st	24	1458	6	3	0	0
2	UCL A		2nd	1st	2nd	2nd	3rd	1st	1st	1st	2nd	21	1481	4	4	1	0
3	Ljubljana DM	ESL	2nd	1st	1st	1st	3rd	1st	2nd	1st	3rd	21	1464	5	2	2	0
4	UCD L&amp;H A		1st	2nd	3rd	1st	1st	1st	3rd	2nd	1st	21	1458	5	2	2	0
5	Cambridge A		1st	1st	1st	4th	2nd	2nd	2nd	2nd	1st	20	1465	4	4	0	0
6	Edinburgh BM		2nd	2nd	2nd	3rd	1st	2nd	1st	1st	2nd	20	1433	3	5	1	0
7	TCD Hist A		1st	2nd	4th	1st	1st	3rd	2nd	1st	1st	20	1425	5	2	1	0
8	Tartu A	ESL	1st	2nd	1st	1st	2nd	3rd	3rd	3rd	1st	19	1470	4	2	3	0
9	Zagreb A	ESL	1st	1st	1st	2nd	4th	1st	4th	1st	2nd	19	1456	5	2	0	0
10	Cambridge B		1st	1st	2nd	3rd	2nd	1st	2nd	4th	1st	19	1446	4	3	1	0
11	Edinburgh IS		1st	2nd	1st	3rd	3rd	1st	2nd	3rd	1st	19	1446	4	2	3	0
12	LSE A		1st	1st	1st	3rd	1st	4th	1st	4th	2nd	18	1459	5	1	1	0
13=	Copenhagen A		2nd	1st	3rd	1st	1st	2nd	1st	3rd	4th	18	1452	4	2	2	0
13=	Zagreb B	ESL	1st	1st	2nd	1st	1st	2nd	4th	3rd	3rd	18	1452	4	2	2	3
15	Belgrade LC	ESL	2nd	2nd	1st	1st	2nd	4th	1st	1st	4th	18	1450	4	3	0	0
16	Oxford D		2nd	1st	2nd	3rd	2nd	3rd	2nd	2nd	1st	18	1443	2	5	2	0
17	UCL B		2nd	1st	1st	4th	2nd	3rd	3rd	1st	1st	18	1435	4	2	2	0
18	Oxford C		3rd	1st	3rd	1st	4th	1st	1st	1st	3rd	18	1426	5	0	3	0
19	ACG A	ESL	1st	4th	1st	2nd	1st	2nd	2nd	3rd	2nd	18	1421	3	4	1	0
20	DC Munich B	ESL	1st	1st	4th	3rd	1st	1st	3rd	2nd	2nd	18	1415	4	2	2	0
21	Cambridge D		2nd	3rd	2nd	1st	2nd	2nd	3rd	1st	2nd	18	1405	2	5	2	0
22	Ljubljana LJ	ESL	3rd	2nd	4th	2nd	2nd	2nd	1st	1st	1st	18	1387	3	4	1	0
23	OpenU AA	ESL	1st	3rd	1st	1st	2nd	3rd	3rd	2nd	3rd	17	1456	3	2	4	0
24	BGU A	ESL	2nd	2nd	2nd	2nd	1st	2nd	4th	2nd	2nd	17	1438	1	7	0	0
25	Technion A	ESL	2nd	2nd	2nd	4th	1st	1st	1st	2nd	4th	17	1434	3	4	0	0
26	St Andrews A		3rd	1st	1st	2nd	1st	2nd	4th	4th	1st	17	1433	4	2	1	0
27	Oxford B		3rd	1st	1st	3rd	1st	4th	1st	1st	4th	17	1432	5	0	2	0
28	Vienna A	ESL	1st	4th	1st	1st	1st	4th	2nd	3rd	2nd	17	1418	4	2	1	0
29	Belgrade AM	ESL	1st	2nd	2nd	4th	2nd	4th	1st	1st	2nd	17	1416	3	4	0	0
30	Technion B	ESL	1st	2nd	2nd	4th	2nd	3rd	1st	1st	3rd	17	1414	3	3	2	0
31	Zagreb C	ESL	2nd	1st	3rd	1st	4th	4th	1st	2nd	1st	17	1410	4	2	1	0
32=	LSE C		1st	4th	3rd	1st	3rd	1st	2nd	1st	3rd	17	1410	4	1	3	0
32=	Oxford F		3rd	2nd	1st	4th	1st	1st	3rd	3rd	1st	17	1410	4	1	3	0
34	HUJI A	ESL	2nd	3rd	1st	3rd	1st	2nd	1st	4th	2nd	17	1409	3	3	2	0
35	St Andrews B		1st	3rd	3rd	1st	4th	1st	4th	1st	1st	17	1389	5	0	2	0
36	KCL A		1st	1st	3rd	2nd	4th	1st	1st	4th	3rd	16	1459	4	1	2	0
37	Edinburgh FK		1st	2nd	2nd	1st	4th	3rd	2nd	1st	4th	16	1443	3	3	1	0
38	Vienna B	ESL	1st	3rd	1st	1st	3rd	3rd	4th	2nd	2nd	16	1421	3	2	3	0
39	UAM A	ESL	2nd	3rd	3rd	3rd	1st	2nd	2nd	3rd	1st	16	1405	2	3	4	0
40	TCD Phil HH		2nd	4th	1st	2nd	3rd	1st	2nd	2nd	3rd	16	1403	2	4	2	0
41	Zurich GL		1st	2nd	1st	2nd	4th	4th	4th	1st	1st	16	1401	4	2	0	0
42	ADUB A	ESL	2nd	2nd	4th	4th	1st	3rd	2nd	1st	1st	16	1401	3	3	1	0
43	TAU B		1st	3rd	2nd	4th	3rd	4th	1st	1st	1st	16	1399	4	1	2	0
44	UCD L&amp;H D		1st	1st	4th	2nd	3rd	4th	1st	1st	3rd	16	1395	4	1	2	0
45	WDS A		3rd	1st	4th	2nd	2nd	1st	2nd	3rd	2nd	16	1394	2	4	2	0
46	Vienna C		1st	4th	1st	1st	4th	2nd	1st	2nd	4th	16	1391	4	2	0	0
47	St Andrews C		1st	3rd	2nd	2nd	4th	2nd	1st	4th	1st	16	1385	3	3	1	0
48	Amsterdam L&amp;M	ESL	4th	1st	2nd	4th	2nd	1st	3rd	1st	2nd	16	1383	3	3	1	0
49	NTUA A	ESL	2nd	4th	2nd	2nd	1st	3rd	1st	4th	1st	16	1375	3	3	1	0
50	Oxford G		2nd	2nd	4th	2nd	2nd	2nd	4th	1st	2nd	15	1422	1	6	0	0
51	LSE B		4th	1st	1st	1st	2nd	1st	3rd	4th	4th	15	1418	4	1	1	0
52	UDS A	ESL	3rd	1st	1st	2nd	2nd	3rd	3rd	3rd	3rd	15	1399	2	2	5	3
53	Bristol C		3rd	3rd	1st	3rd	1st	1st	3rd	2nd	4th	15	1397	3	1	4	0
54	UCL C		2nd	2nd	2nd	4th	1st	3rd	1st	4th	2nd	15	1397	2	4	1	0
55	Berlin A	ESL	2nd	1st	2nd	3rd	3rd	1st	4th	3rd	2nd	15	1396	2	3	3	0
56	Amsterdam OI	ESL	1st	1st	4th	3rd	1st	2nd	4th	4th	1st	15	1395	4	1	1	0
57	Sciences Po A	ESL	1st	3rd	4th	4th	2nd	3rd	2nd	1st	1st	15	1394	3	2	2	0
58	KDUW HI	ESL	2nd	3rd	4th	2nd	1st	3rd	1st	2nd	3rd	15	1390	2	3	3	0
59	UCD L&amp;H B	ESL	1st	3rd	1st	4th	1st	1st	4th	2nd	4th	15	1389	4	1	1	0
60	UCD L&amp;H C		1st	2nd	3rd	3rd	4th	2nd	2nd	2nd	2nd	15	1389	1	5	2	0
61	Trivium A	ESL	2nd	2nd	3rd	1st	1st	4th	1st	3rd	4th	15	1388	3	2	2	0
