team	institution	result	side	ballot	adjudicators
Tsukuba Intuition Lovers	Tsukuba	3rd	Opening Government	View Ballot	Caitlin Lai-Yee MahⒸ , Amitai Ben Porat , Rumen Kanev , Divyanshi DusadⓉ
Over the Ocean	—	2nd	Opening Opposition	View Ballot	Caitlin Lai-Yee MahⒸ , Amitai Ben Porat , Rumen Kanev , Divyanshi DusadⓉ
Technion B	Technion	1st	Closing Government	View Ballot	Caitlin Lai-Yee MahⒸ , Amitai Ben Porat , Rumen Kanev , Divyanshi DusadⓉ
UNSW Gibson &amp; Roebuck-Krautz	UNSW	4th	Closing Opposition	View Ballot	Caitlin Lai-Yee MahⒸ , Amitai Ben Porat , Rumen Kanev , Divyanshi DusadⓉ
if at first you don&#x27;t succeed, try	—	2nd	Opening Government	View Ballot	Mukudzeiishe MadzivireⒸ , Alex McCreadie , Preeyansh Agarwalla , Bekzhan KairzhanovⓉ
Oxford Bharath Anantham	Oxford	1st	Opening Opposition	View Ballot	Mukudzeiishe MadzivireⒸ , Alex McCreadie , Preeyansh Agarwalla , Bekzhan KairzhanovⓉ
QDU James&#x27;s Juggernauts	QDU	4th	Closing Government	View Ballot	Mukudzeiishe MadzivireⒸ , Alex McCreadie , Preeyansh Agarwalla , Bekzhan KairzhanovⓉ
TCD Hist (B)ut Ava isn’t here so we’ve foun	TCD Hist	3rd	Closing Opposition	View Ballot	Mukudzeiishe MadzivireⒸ , Alex McCreadie , Preeyansh Agarwalla , Bekzhan KairzhanovⓉ
CDS A	CDS	1st	Opening Government	View Ballot	Oisín BrowneⒸ , Aryan Dwivedi , Ruth Selorme Acolatse , Gaurav PatelⓉ
USP Team Brazil	USP	2nd	Opening Opposition	View Ballot	Oisín BrowneⒸ , Aryan Dwivedi , Ruth Selorme Acolatse , Gaurav PatelⓉ
Ottawa Every time we take an L we take a	Ottawa	4th	Closing Government	View Ballot	Oisín BrowneⒸ , Aryan Dwivedi , Ruth Selorme Acolatse , Gaurav PatelⓉ
ACS Levski*	—	3rd	Closing Opposition	View Ballot	Oisín BrowneⒸ , Aryan Dwivedi , Ruth Selorme Acolatse , Gaurav PatelⓉ
ACG A (Bogdan is fluent in Greek)	ACG	2nd	Opening Government	View Ballot	Zainab SardarⒸ , Shudipto R. Ahmed , Weronika Hupert , Divyabh RajⓉ
Why don&#x27;t you wear a suit?	—	1st	Opening Opposition	View Ballot	Zainab SardarⒸ , Shudipto R. Ahmed , Weronika Hupert , Divyabh RajⓉ
Imperial AR	Imperial	3rd	Closing Government	View Ballot	Zainab SardarⒸ , Shudipto R. Ahmed , Weronika Hupert , Divyabh RajⓉ
Seneca LEAFS IN SEVEN PLEASE WIN PLEASE P	Seneca	4th	Closing Opposition	View Ballot	Zainab SardarⒸ , Shudipto R. Ahmed , Weronika Hupert , Divyabh RajⓉ
St Andrews the vegan evangelist and (C)S lab	St Andrews	4th	Opening Government	View Ballot	Jack StanleyⒸ , Addo Desmond , Liv Misztowt , Rwad Okal , Ellie BeanⓉ
USP A	USP	3rd	Opening Opposition	View Ballot	Jack StanleyⒸ , Addo Desmond , Liv Misztowt , Rwad Okal , Ellie BeanⓉ
Two Yelling Indians	—	2nd	Closing Government	View Ballot	Jack StanleyⒸ , Addo Desmond , Liv Misztowt , Rwad Okal , Ellie BeanⓉ
The Finna &amp; The Chile	—	1st	Closing Opposition	View Ballot	Jack StanleyⒸ , Addo Desmond , Liv Misztowt , Rwad Okal , Ellie BeanⓉ
Athens A	Athens	3rd	Opening Government	View Ballot	Matt MaurielloⒸ , Ania Sawicka , Atiyab , Isaac CopleyⓉ
NU S	NU	2nd	Opening Opposition	View Ballot	Matt MaurielloⒸ , Ania Sawicka , Atiyab , Isaac CopleyⓉ
The Indo-Chinese Alliance	—	4th	Closing Government	View Ballot	Matt MaurielloⒸ , Ania Sawicka , Atiyab , Isaac CopleyⓉ
Technion A	Technion	1st	Closing Opposition	View Ballot	Matt MaurielloⒸ , Ania Sawicka , Atiyab , Isaac CopleyⓉ
ACS Botev*	—	3rd	Opening Government	View Ballot	Wajeeh MaazⒸ , Luyanda Madliwa , Advika SharmaⓉ , Harvey CallaghanⓉ
Poutine withdrawal symptoms	—	4th	Opening Opposition	View Ballot	Wajeeh MaazⒸ , Luyanda Madliwa , Advika SharmaⓉ , Harvey CallaghanⓉ
Oxford K-Pop Idol and Femboy	Oxford	2nd	Closing Government	View Ballot	Wajeeh MaazⒸ , Luyanda Madliwa , Advika SharmaⓉ , Harvey CallaghanⓉ
Tokyo A	Tokyo	1st	Closing Opposition	View Ballot	Wajeeh MaazⒸ , Luyanda Madliwa , Advika SharmaⓉ , Harvey CallaghanⓉ
UBC DS CC	UBC	3rd	Opening Government	View Ballot	William SmithⒸ , Anna Shreder , Robert Armstrong , Bhavisya sharmaⓉ
Oxford (A)rxidia Frikase	Oxford	1st	Opening Opposition	View Ballot	William SmithⒸ , Anna Shreder , Robert Armstrong , Bhavisya sharmaⓉ
Irfan Khan and Tissera May walk in	—	2nd	Closing Government	View Ballot	William SmithⒸ , Anna Shreder , Robert Armstrong , Bhavisya sharmaⓉ
grad dinner	—	4th	Closing Opposition	View Ballot	William SmithⒸ , Anna Shreder , Robert Armstrong , Bhavisya sharmaⓉ
