Rk	break	team	institution	Pts	Spk	1sts	2nds
1	1	The one from the more racist count	—	13	800.00	3	2
2	2	Oxford (A)rxidia Frikase	Oxford	12	799.00	3	1
3	3	UCL B	UCL	12	789.00	3	1
4	4	Why don&#x27;t you wear a suit?	—	12	787.00	3	1
5	5	The Finna &amp; The Chile	—	11	804.00	1	4
6	6	Oxford Bharath Anantham	Oxford	11	801.00	2	2
7	(withdrawn)	Technion A	Technion	11	800.00	3	0
8	7	Franka Boender’s Strongest Soldier	—	11	795.00	2	2
9	8	Imperial team name	Imperial	11	761.00	3	0
10	9	UNSW Gibson &amp; Roebuck-Krautz	UNSW	10	806.00	2	2
11	10	Irfan Khan and Tissera May walk in	—	10	805.00	2	2
12=	11	St Andrews We have Cambridge A at home	St Andrews	10	798.00	3	0
12=	11	Tokyo A	Tokyo	10	798.00	3	0
14	13	ACG A (Bogdan is fluent in Greek)	ACG	10	788.00	1	3
15	14	Oxford K-Pop Idol and Femboy	Oxford	9	805.00	2	1
16	15	CDS A	CDS	9	788.00	3	0
17	16	Ottawa The Heart	Ottawa	9	778.00	1	2
