Rk	break	team	Pts	Spk	1sts	2nds	DS
1	1	Stanford 6	19	1150.00	5	2	280
2	2	McGill 2	17	1139.00	4	2	285
3	3	Stanford 1	16	1143.00	3	3	274
4	4	McGill 1	16	1125.00	4	1	281
5	5	EDS 1	16	1124.00	2	5	256
6	6	Hart House 1	15	1130.00	4	1	278
7	7	Harvard 3	15	1117.00	4	1	239
8	8	Columbia 1	15	1111.00	3	2	258
9	9	UCLA 1	15	1081.00	3	2	223
10	10	Harvard 1	14	1120.00	3	2	270
11	11	Harvard 4	14	1118.00	3	2	286
12	12	Stanford 5	14	1110.00	3	2	235
13	13	Stanford 2	14	1103.00	3	2	262
14	14	Rochester 1	14	1100.00	4	1	289
15	15	Berkeley 1	14	1088.00	2	3	242
16	16	Pennsylvania 1	14	955.00	4	1	182
