Rk	team	categories	R1	R2	R3	R4	R5	R6	R7	Pts	Spk	1sts	2nds	DS
1	Stanford 6		1st	2nd	2nd	1st	1st	1st	1st	19	1150	5	2	280
2	McGill 2		1st	1st	3rd	1st	1st	2nd	2nd	17	1139	4	2	285
3	Stanford 1		1st	2nd	2nd	3rd	2nd	1st	1st	16	1143	3	3	274
4	McGill 1		1st	3rd	1st	1st	2nd	1st	3rd	16	1125	4	1	281
5	EDS 1		2nd	2nd	1st	2nd	1st	2nd	2nd	16	1124	2	5	256
6	Hart House 1		1st	1st	4th	1st	1st	3rd	2nd	15	1130	4	1	278
7	Harvard 3		1st	2nd	1st	4th	1st	3rd	1st	15	1117	4	1	239
8	Columbia 1		1st	3rd	1st	3rd	2nd	2nd	1st	15	1111	3	2	258
9	UCLA 1		3rd	1st	3rd	2nd	1st	2nd	1st	15	1081	3	2	223
10	Harvard 1		2nd	1st	2nd	1st	3rd	1st	4th	14	1120	3	2	270
11	Harvard 4		1st	1st	1st	2nd	2nd	4th	3rd	14	1118	3	2	286
12	Stanford 5		3rd	2nd	1st	1st	4th	1st	2nd	14	1110	3	2	235
13	Stanford 2		1st	1st	4th	2nd	1st	2nd	3rd	14	1103	3	2	262
14	Rochester 1		1st	2nd	1st	1st	4th	1st	4th	14	1100	4	1	289
15	Berkeley 1		2nd	2nd	1st	3rd	1st	3rd	2nd	14	1088	2	3	242
16	Pennsylvania 1	Novice	4th	—	2nd	1st	1st	1st	1st	14	955	4	1	182
17	Chicago 1		—	4th	1st	1st	2nd	1st	1st	14	951	4	1	180
18	Princeton 3		1st	1st	1st	3rd	3rd	3rd	3rd	13	1120	3	0	289
19	Harvard 2		1st	1st	3rd	2nd	4th	2nd	2nd	13	1120	2	3	290
20	Cornell 2	Novice	2nd	1st	3rd	1st	4th	1st	3rd	13	1101	3	1	249
21	Hart House 3		1st	4th	3rd	2nd	2nd	1st	2nd	13	1101	2	3	247
22	McGill 4		2nd	1st	2nd	4th	3rd	2nd	1st	13	1096	2	3	234
23	Northwestern 1		2nd	1st	4th	1st	3rd	3rd	1st	13	1077	3	1	245
24	Hart House 9		2nd	3rd	2nd	2nd	1st	4th	1st	13	1077	2	3	236
25	Yale 1		3rd	2nd	1st	4th	1st	2nd	2nd	13	1073	2	3	219
26	JHU 1		1st	4th	4th	1st	2nd	2nd	1st	13	1069	3	2	226
27	Stanford 4	Novice	4th	1st	4th	1st	1st	3rd	1st	13	1062	4	0	206
28	Queen&#x27;s 5		1st	3rd	1st	3rd	2nd	2nd	4th	12	1105	2	2	265
29	Columbia 2		2nd	2nd	2nd	2nd	3rd	3rd	2nd	12	1103	0	5	245
30	UBC 1		3rd	1st	1st	4th	2nd	2nd	3rd	12	1096	2	2	239
31	Hart House 2		2nd	2nd	3rd	1st	1st	4th	3rd	12	1095	2	2	256
32	Calgary 1		2nd	4th	2nd	1st	2nd	4th	1st	12	1092	2	3	223
33	Hart House 8	Novice	2nd	3rd	1st	1st	3rd	3rd	3rd	12	1086	2	1	230
34	Western 3		3rd	1st	3rd	1st	3rd	1st	4th	12	1081	3	0	240
35	Dartmouth 2	Novice	2nd	2nd	4th	3rd	2nd	1st	2nd	12	1080	1	4	210
36	USC 3		3rd	1st	4th	2nd	2nd	1st	3rd	12	1079	2	2	219
37	McGill 6	Novice	3rd	2nd	2nd	3rd	1st	1st	4th	12	1073	2	2	240
38	Alberta 3		2nd	1st	3rd	4th	3rd	2nd	1st	12	1072	2	2	220
39	Yale 2		1st	3rd	2nd	3rd	3rd	2nd	2nd	12	1060	1	3	239
40	HWS 5		4th	4th	3rd	1st	1st	1st	2nd	12	1050	3	1	189
41	Princeton 7	Novice	2nd	3rd	4th	4th	1st	1st	1st	12	1034	3	1	187
42	Swing 1		2nd	—	1st	4th	1st	3rd	1st	12	917	3	1	187
43	Waterloo 1		1st	2nd	2nd	4th	2nd	4th	2nd	11	1094	1	4	261
44	McGill 3		2nd	3rd	3rd	1st	3rd	1st	4th	11	1092	2	1	241
45	Western 1		4th	1st	3rd	1st	4th	3rd	1st	11	1089	3	0	201
46	Queen&#x27;s 1		1st	2nd	4th	2nd	1st	3rd	4th	11	1084	2	2	244
47	Yale 4		3rd	1st	2nd	2nd	3rd	2nd	4th	11	1083	1	3	259
48	USC 2	Novice	1st	3rd	2nd	2nd	4th	2nd	3rd	11	1082	1	3	229
49	Waterloo 2		3rd	1st	1st	2nd	2nd	4th	4th	11	1075	2	2	264
50	EDS 3	Novice	3rd	3rd	2nd	4th	1st	1st	3rd	11	1071	2	1	199
51	Berkeley 4		3rd	2nd	3rd	3rd	1st	3rd	2nd	11	1065	1	2	224
52	Queen&#x27;s 2		3rd	4th	1st	1st	4th	2nd	2nd	11	1062	2	2	199
53	Carleton 2	Novice	2nd	4th	1st	1st	4th	4th	1st	11	1060	3	1	217
54	EDS 2		1st	4th	1st	4th	4th	1st	2nd	11	1050	3	1	222
55	Middlebury 3	Novice	1st	3rd	4th	2nd	3rd	3rd	1st	11	1040	2	1	223
56	Hart House 5		1st	—	4th	2nd	2nd	3rd	1st	11	902	2	2	179
57	Western 4	Novice	4th	1st	1st	2nd	4th	3rd	3rd	10	1088	2	1	239
58	Hart House 4		1st	4th	2nd	3rd	1st	3rd	4th	10	1078	2	1	237
59	Yale 3	Novice	3rd	3rd	1st	1st	2nd	4th	4th	10	1075	2	1	232
