Rk	break	team	Pts	Spk	1sts	2nds	3rds
1	(different break)	OpenU A	19	1484.00	4	3	1
2	(different break)	Zagreb A	18	1467.00	5	0	3
3	(different break)	Tokyo A	18	1466.00	2	5	2
4	(different break)	Technion A	17	1425.00	5	0	2
5	(different break)	BDU A	17	1415.00	3	2	4
6	(different break)	IIUM A	17	1397.00	4	1	3
7	1	PUCP CG	16	1416.00	3	3	1
8	2	BGU A	15	1431.00	2	4	1
9	3	UM A	15	1418.00	2	4	1
10	4	DDUL A	15	1418.00	2	3	3
11	5	BFSU A	15	1395.00	2	4	1
12	6	IITB A	15	1381.00	2	2	5
13	(different break)	TEC CEM M	15	1380.00	2	3	3
14	7	IGNOU A	14	1386.00	1	4	3
15	8	MSUDG B	14	917.00	3	2	1
